LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: SYRACUSE,03/17/2010 15:31:00,,2126.00,1154.00,320.00,137.00,78.00,91.00,54.00,26.00,APPROVED
NY: SYRACUSE,03/17/2010 16:31:00,,2039.00,1120.00,319.00,131.00,78.00,90.00,55.00,27.00,APPROVED
NY: SYRACUSE,03/17/2010 17:31:00,,1998.00,1113.00,315.00,135.00,78.00,87.00,57.00,28.00,APPROVED
NY: SYRACUSE,03/17/2010 18:32:00,,1943.00,1091.00,314.00,134.00,79.00,86.00,57.00,27.00,APPROVED
NY: SYRACUSE,03/17/2010 19:32:00,,1884.00,1056.00,309.00,131.00,78.00,86.00,59.00,26.00,APPROVED
NY: SYRACUSE,03/17/2010 20:32:00,,1864.00,1046.00,306.00,131.00,76.00,84.00,57.00,28.00,APPROVED
NY: SYRACUSE,03/17/2010 21:32:00,,1877.00,1059.00,306.00,133.00,79.00,84.00,57.00,27.00,APPROVED
NY: SYRACUSE,03/17/2010 22:32:00,,1895.00,1060.00,305.00,133.00,78.00,84.00,58.00,27.00,APPROVED
NY: SYRACUSE,03/17/2010 23:33:00,,1929.00,1080.00,309.00,134.00,77.00,86.00,58.00,26.00,APPROVED
NY: SYRACUSE,03/18/2010 00:33:00,,1984.00,1105.00,316.00,137.00,78.00,83.00,57.00,26.00,APPROVED
NY: SYRACUSE,03/18/2010 01:33:00,,2041.00,1123.00,313.00,132.00,77.00,85.00,57.00,26.00,APPROVED
NY: SYRACUSE,03/18/2010 02:33:00,,2081.00,1138.00,318.00,134.00,79.00,88.00,55.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 03:33:00,,2106.00,1145.00,319.00,135.00,76.00,89.00,53.00,28.00,APPROVED
NY: SYRACUSE,03/18/2010 04:34:00,,2111.00,1147.00,322.00,130.00,80.00,89.00,51.00,28.00,APPROVED
NY: SYRACUSE,03/18/2010 05:34:00,,2118.00,1147.00,320.00,132.00,80.00,88.00,53.00,28.00,APPROVED
NY: SYRACUSE,03/18/2010 06:34:00,,2125.00,1143.00,322.00,135.00,80.00,88.00,54.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 07:34:00,,2131.00,1152.00,323.00,134.00,79.00,87.00,53.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 08:34:00,,2146.00,1160.00,322.00,136.00,78.00,90.00,52.00,26.00,APPROVED
NY: SYRACUSE,03/18/2010 09:35:00,,2147.00,1164.00,321.00,133.00,79.00,89.00,51.00,26.00,APPROVED
NY: SYRACUSE,03/18/2010 10:35:00,,2138.00,1169.00,324.00,136.00,79.00,88.00,51.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 11:35:00,,2148.00,1158.00,328.00,134.00,81.00,91.00,49.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 12:35:00,,2137.00,1159.00,323.00,135.00,78.00,91.00,50.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 13:35:00,,2104.00,1146.00,321.00,134.00,76.00,88.00,51.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 14:36:00,,2126.00,1146.00,322.00,134.00,78.00,87.00,53.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 15:36:00,,2069.00,1138.00,323.00,135.00,78.00,87.00,55.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 16:36:00,,1977.00,1095.00,316.00,136.00,77.00,87.00,57.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 17:36:00,,1917.00,1085.00,312.00,134.00,76.00,86.00,57.00,28.00,APPROVED
NY: SYRACUSE,03/18/2010 18:36:00,,1905.00,1081.00,307.00,134.00,76.00,84.00,58.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 19:37:00,,1913.00,1069.00,304.00,132.00,76.00,84.00,60.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 20:37:00,,1865.00,1063.00,307.00,133.00,79.00,85.00,59.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 21:37:00,,1866.00,1052.00,305.00,131.00,77.00,83.00,59.00,27.00,APPROVED
NY: SYRACUSE,03/18/2010 22:37:00,,1869.00,1059.00,307.00,134.00,78.00,84.00,58.00,26.00,APPROVED
NY: SYRACUSE,03/18/2010 23:37:00,,1947.00,1078.00,313.00,137.00,78.00,85.00,59.00,26.00,APPROVED
NY: SYRACUSE,03/19/2010 00:38:00,,1981.00,1112.00,312.00,137.00,78.00,85.00,56.00,28.00,APPROVED
NY: SYRACUSE,03/19/2010 01:38:00,,2000.00,1116.00,315.00,134.00,78.00,86.00,57.00,27.00,APPROVED
NY: SYRACUSE,03/19/2010 02:38:00,,2040.00,1124.00,320.00,135.00,78.00,86.00,59.00,28.00,APPROVED
