LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: YAPHANK,01/01/2021 00:35:00,41.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 01:35:00,41.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 02:35:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 03:35:00,39.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 04:36:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 05:36:00,41.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 06:36:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 07:36:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 08:36:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 09:37:00,37.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 10:37:00,39.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 11:37:00,36.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 12:37:00,39.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 13:37:00,37.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 14:38:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 15:38:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 16:38:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 17:38:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 18:38:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 19:39:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 20:39:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 21:39:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 22:39:00,39.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2021 23:40:00,38.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 00:40:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 01:40:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 02:40:00,42.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 03:40:00,43.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 04:41:00,48.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 05:41:00,50.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 06:41:00,49.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 07:41:00,47.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 08:41:00,44.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 09:42:00,43.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 10:42:00,43.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 11:42:00,40.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 12:42:00,43.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 13:42:00,42.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 14:43:00,41.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 15:43:00,41.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 16:43:00,44.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 17:43:00,44.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 18:44:00,43.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 19:44:00,42.00,,,,,,,,,APPROVED
NY: YAPHANK,01/02/2021 20:44:00,40.00,,,,,,,,,APPROVED
