LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OH: CINCINNATI,01/01/2021 00:14:00,67.00,1440.00,936.00,291.00,138.00,81.00,118.00,64.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 01:14:00,68.00,1420.00,918.00,283.00,134.00,77.00,116.00,63.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 02:14:00,66.00,1408.00,909.00,279.00,134.00,77.00,113.00,61.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 03:14:00,66.00,1412.00,913.00,281.00,135.00,79.00,116.00,63.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 04:15:00,66.00,1420.00,915.00,286.00,133.00,80.00,115.00,65.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 05:15:00,68.00,1419.00,908.00,287.00,135.00,79.00,114.00,64.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 06:15:00,68.00,1409.00,899.00,281.00,134.00,81.00,114.00,62.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 07:15:00,66.00,1400.00,896.00,280.00,132.00,76.00,113.00,63.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 08:16:00,66.00,1404.00,897.00,278.00,132.00,77.00,112.00,62.00,38.00,APPROVED
OH: CINCINNATI,01/01/2021 09:16:00,67.00,1394.00,887.00,275.00,132.00,77.00,113.00,61.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 10:16:00,67.00,1391.00,888.00,274.00,130.00,74.00,115.00,61.00,35.00,APPROVED
OH: CINCINNATI,01/01/2021 11:16:00,65.00,1420.00,905.00,281.00,135.00,78.00,113.00,62.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 12:16:00,66.00,1437.00,928.00,285.00,137.00,81.00,119.00,63.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 13:17:00,70.00,1509.00,990.00,307.00,145.00,84.00,123.00,68.00,38.00,APPROVED
OH: CINCINNATI,01/01/2021 14:17:00,83.00,1580.00,1047.00,324.00,152.00,87.00,132.00,69.00,40.00,APPROVED
OH: CINCINNATI,01/01/2021 15:17:00,87.00,1576.00,1052.00,322.00,147.00,86.00,129.00,69.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 16:17:00,86.00,1624.00,1076.00,330.00,154.00,88.00,132.00,73.00,39.00,APPROVED
OH: CINCINNATI,01/01/2021 17:17:00,83.00,1572.00,1019.00,317.00,151.00,84.00,125.00,72.00,38.00,APPROVED
OH: CINCINNATI,01/01/2021 18:18:00,83.00,1601.00,1045.00,321.00,152.00,89.00,129.00,74.00,38.00,APPROVED
OH: CINCINNATI,01/01/2021 19:18:00,78.00,1440.00,913.00,278.00,136.00,74.00,110.00,70.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 20:18:00,73.00,1393.00,871.00,260.00,131.00,72.00,102.00,68.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 21:18:00,78.00,1373.00,863.00,257.00,132.00,74.00,98.00,68.00,36.00,APPROVED
OH: CINCINNATI,01/01/2021 22:18:00,74.00,1386.00,861.00,253.00,134.00,74.00,99.00,72.00,37.00,APPROVED
OH: CINCINNATI,01/01/2021 23:19:00,71.00,1389.00,870.00,256.00,132.00,72.00,98.00,72.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 00:19:00,105.00,1859.00,1297.00,368.00,197.00,99.00,146.00,94.00,40.00,APPROVED
OH: CINCINNATI,01/02/2021 01:19:00,106.00,1786.00,1220.00,367.00,199.00,99.00,145.00,93.00,42.00,APPROVED
OH: CINCINNATI,01/02/2021 02:19:00,82.00,1480.00,948.00,288.00,153.00,81.00,110.00,78.00,39.00,APPROVED
OH: CINCINNATI,01/02/2021 03:20:00,74.00,1373.00,861.00,258.00,135.00,73.00,99.00,71.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 04:20:00,74.00,1357.00,850.00,250.00,129.00,71.00,97.00,71.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 05:20:00,71.00,1359.00,845.00,248.00,129.00,70.00,98.00,69.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 06:20:00,73.00,1369.00,847.00,254.00,129.00,73.00,99.00,69.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 07:20:00,76.00,1425.00,909.00,271.00,136.00,78.00,106.00,70.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 08:21:00,76.00,1452.00,924.00,278.00,141.00,78.00,110.00,73.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 09:21:00,73.00,1422.00,905.00,275.00,136.00,76.00,108.00,70.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 10:21:00,72.00,1410.00,881.00,268.00,135.00,76.00,109.00,67.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 11:21:00,70.00,1412.00,890.00,269.00,134.00,76.00,105.00,66.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 12:21:00,71.00,1400.00,889.00,268.00,132.00,73.00,108.00,65.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 13:22:00,73.00,1406.00,887.00,268.00,132.00,74.00,112.00,64.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 14:22:00,72.00,1404.00,890.00,272.00,133.00,75.00,112.00,64.00,36.00,APPROVED
OH: CINCINNATI,01/02/2021 15:22:00,71.00,1409.00,886.00,270.00,132.00,74.00,110.00,67.00,37.00,APPROVED
OH: CINCINNATI,01/02/2021 16:22:00,72.00,1406.00,900.00,275.00,134.00,76.00,112.00,68.00,37.00,APPROVED
