LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OH: CLEVELAND,01/01/2016 00:14:00,,2268.00,1335.00,390.00,204.00,126.00,150.00,97.00,49.00,APPROVED
OH: CLEVELAND,01/01/2016 01:14:00,,2245.00,1314.00,386.00,204.00,123.00,147.00,97.00,47.00,APPROVED
OH: CLEVELAND,01/01/2016 02:14:00,,2251.00,1310.00,385.00,205.00,123.00,145.00,95.00,47.00,APPROVED
OH: CLEVELAND,01/01/2016 03:14:00,,2241.00,1316.00,378.00,202.00,125.00,141.00,93.00,47.00,APPROVED
OH: CLEVELAND,01/01/2016 04:15:00,,2238.00,1315.00,385.00,200.00,125.00,146.00,95.00,47.00,APPROVED
OH: CLEVELAND,01/01/2016 05:15:00,,2246.00,1312.00,382.00,203.00,126.00,147.00,93.00,46.00,APPROVED
OH: CLEVELAND,01/01/2016 06:15:00,,2258.00,1339.00,388.00,206.00,126.00,146.00,94.00,47.00,APPROVED
OH: CLEVELAND,01/01/2016 07:15:00,,2286.00,1361.00,396.00,212.00,129.00,151.00,99.00,47.00,APPROVED
OH: CLEVELAND,01/01/2016 08:15:00,,2298.00,1371.00,398.00,213.00,131.00,157.00,98.00,49.00,APPROVED
OH: CLEVELAND,01/01/2016 09:16:00,,2303.00,1392.00,407.00,221.00,131.00,157.00,99.00,48.00,APPROVED
OH: CLEVELAND,01/01/2016 10:16:00,,2326.00,1410.00,410.00,224.00,132.00,156.00,101.00,51.00,APPROVED
OH: CLEVELAND,01/01/2016 11:16:00,,2353.00,1436.00,417.00,233.00,135.00,164.00,105.00,51.00,APPROVED
OH: CLEVELAND,01/01/2016 12:16:00,,2381.00,1479.00,424.00,238.00,138.00,167.00,107.00,50.00,APPROVED
OH: CLEVELAND,01/01/2016 13:17:00,,2391.00,1491.00,434.00,245.00,141.00,171.00,105.00,51.00,APPROVED
OH: CLEVELAND,01/01/2016 14:17:00,,2422.00,1521.00,444.00,253.00,142.00,175.00,111.00,52.00,APPROVED
OH: CLEVELAND,01/01/2016 15:17:00,,2420.00,1524.00,447.00,254.00,142.00,178.00,110.00,52.00,APPROVED
OH: CLEVELAND,01/01/2016 16:17:00,,2395.00,1497.00,437.00,248.00,139.00,177.00,109.00,52.00,APPROVED
OH: CLEVELAND,01/01/2016 17:18:00,,2368.00,1474.00,430.00,237.00,138.00,170.00,105.00,49.00,APPROVED
OH: CLEVELAND,01/01/2016 18:18:00,,2356.00,1459.00,427.00,237.00,140.00,166.00,105.00,49.00,APPROVED
OH: CLEVELAND,01/01/2016 19:18:00,,2352.00,1449.00,419.00,233.00,135.00,165.00,104.00,50.00,APPROVED
OH: CLEVELAND,01/01/2016 20:18:00,,2345.00,1434.00,420.00,233.00,133.00,165.00,103.00,51.00,APPROVED
OH: CLEVELAND,01/01/2016 21:18:00,,2354.00,1438.00,420.00,229.00,137.00,164.00,102.00,51.00,APPROVED
OH: CLEVELAND,01/01/2016 22:19:00,,2444.00,1539.00,443.00,252.00,144.00,178.00,107.00,52.00,APPROVED
OH: CLEVELAND,01/01/2016 23:19:00,,2530.00,1649.00,476.00,286.00,155.00,194.00,115.00,54.00,APPROVED
OH: CLEVELAND,01/02/2016 00:19:00,,2594.00,1713.00,496.00,300.00,160.00,205.00,122.00,56.00,APPROVED
OH: CLEVELAND,01/02/2016 01:19:00,,2561.00,1699.00,494.00,305.00,160.00,202.00,123.00,58.00,APPROVED
OH: CLEVELAND,01/02/2016 02:20:00,,2518.00,1648.00,483.00,288.00,156.00,199.00,123.00,56.00,APPROVED
OH: CLEVELAND,01/02/2016 03:20:00,,2524.00,1641.00,479.00,287.00,156.00,197.00,120.00,56.00,APPROVED
