LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OH: TOLEDO,01/01/2012 00:25:00,,1276.00,708.00,209.00,108.00,63.00,80.00,43.00,21.00,APPROVED
OH: TOLEDO,01/01/2012 01:25:00,,1281.00,705.00,206.00,107.00,61.00,78.00,42.00,20.00,APPROVED
OH: TOLEDO,01/01/2012 02:25:00,,1298.00,708.00,207.00,109.00,61.00,79.00,42.00,21.00,APPROVED
OH: TOLEDO,01/01/2012 03:26:00,,1309.00,716.00,214.00,108.00,63.00,78.00,43.00,21.00,APPROVED
OH: TOLEDO,01/01/2012 04:26:00,,1320.00,734.00,215.00,110.00,63.00,83.00,43.00,21.00,APPROVED
OH: TOLEDO,01/01/2012 05:26:00,,1345.00,756.00,222.00,114.00,66.00,83.00,44.00,22.00,APPROVED
OH: TOLEDO,01/01/2012 06:26:00,,1372.00,776.00,230.00,119.00,68.00,85.00,46.00,21.00,APPROVED
OH: TOLEDO,01/01/2012 07:26:00,,1411.00,800.00,236.00,125.00,68.00,89.00,48.00,22.00,APPROVED
OH: TOLEDO,01/01/2012 08:27:00,,1421.00,812.00,243.00,124.00,69.00,92.00,49.00,23.00,APPROVED
OH: TOLEDO,01/01/2012 09:27:00,,1433.00,819.00,242.00,127.00,67.00,94.00,49.00,23.00,APPROVED
OH: TOLEDO,01/01/2012 10:27:00,,1424.00,809.00,238.00,123.00,70.00,90.00,48.00,23.00,APPROVED
OH: TOLEDO,01/01/2012 11:27:00,,1398.00,796.00,233.00,123.00,68.00,89.00,48.00,22.00,APPROVED
OH: TOLEDO,01/01/2012 12:28:00,,1379.00,780.00,225.00,122.00,69.00,87.00,46.00,24.00,APPROVED
OH: TOLEDO,01/01/2012 13:28:00,,1390.00,780.00,230.00,120.00,66.00,86.00,46.00,21.00,APPROVED
OH: TOLEDO,01/01/2012 14:28:00,,1373.00,761.00,223.00,116.00,66.00,82.00,44.00,22.00,APPROVED
OH: TOLEDO,01/01/2012 15:28:00,,1360.00,766.00,223.00,115.00,65.00,83.00,44.00,22.00,APPROVED
OH: TOLEDO,01/01/2012 16:28:00,,1521.00,897.00,263.00,141.00,76.00,100.00,51.00,24.00,APPROVED
OH: TOLEDO,01/01/2012 17:29:00,,1708.00,1050.00,312.00,170.00,89.00,117.00,62.00,26.00,APPROVED
OH: TOLEDO,01/01/2012 18:29:00,,1987.00,1319.00,384.00,215.00,109.00,152.00,78.00,30.00,APPROVED
