LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OK: OKLAHOMA CITY,01/01/2008 00:48:00,,3899.00,489.00,208.00,219.00,270.00,166.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 01:48:00,,3898.00,487.00,205.00,219.00,271.00,162.00,24.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 02:48:00,,3894.00,486.00,211.00,216.00,273.00,166.00,25.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 03:48:00,,3906.00,487.00,209.00,214.00,264.00,159.00,24.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 04:48:00,,3896.00,480.00,210.00,218.00,269.00,161.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 05:49:00,,3896.00,477.00,211.00,214.00,271.00,158.00,25.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 06:49:00,,3898.00,480.00,213.00,219.00,268.00,157.00,25.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 07:49:00,,3905.00,484.00,212.00,214.00,272.00,157.00,26.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 08:49:00,,3899.00,481.00,215.00,217.00,273.00,159.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 09:49:00,,3914.00,479.00,213.00,218.00,278.00,159.00,26.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 10:49:00,,3909.00,485.00,215.00,213.00,274.00,160.00,24.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 11:50:00,,3907.00,485.00,216.00,214.00,275.00,160.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 12:50:00,,3916.00,488.00,218.00,212.00,276.00,160.00,26.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 13:50:00,,3932.00,478.00,218.00,216.00,273.00,156.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 14:50:00,,3947.00,490.00,220.00,215.00,279.00,161.00,27.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 15:50:00,,3974.00,496.00,220.00,222.00,278.00,164.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 16:51:00,,3976.00,493.00,215.00,225.00,278.00,159.00,26.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 17:51:00,,4007.00,507.00,216.00,225.00,278.00,167.00,26.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 18:51:00,,4019.00,504.00,215.00,226.00,278.00,162.00,27.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 19:51:00,,4004.00,500.00,219.00,229.00,281.00,169.00,28.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 20:51:00,,3978.00,499.00,216.00,229.00,284.00,164.00,27.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 21:52:00,,3920.00,496.00,219.00,225.00,275.00,164.00,26.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 22:52:00,,3911.00,489.00,211.00,221.00,277.00,167.00,27.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/01/2008 23:52:00,,3885.00,481.00,210.00,222.00,273.00,165.00,26.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 00:52:00,,3871.00,484.00,212.00,216.00,267.00,162.00,26.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 01:52:00,,3869.00,479.00,211.00,215.00,273.00,160.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 02:53:00,,3862.00,472.00,215.00,212.00,271.00,160.00,23.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 03:53:00,,3855.00,473.00,214.00,210.00,268.00,154.00,25.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 04:53:00,,3842.00,470.00,213.00,206.00,270.00,154.00,25.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 05:53:00,,3872.00,469.00,209.00,204.00,268.00,155.00,24.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 15:55:00,,3805.00,533.00,216.00,248.00,286.00,195.00,25.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 16:55:00,,3851.00,529.00,214.00,244.00,280.00,195.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 17:56:00,,3863.00,534.00,214.00,242.00,280.00,195.00,26.00,33.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 18:56:00,,3904.00,512.00,207.00,238.00,274.00,176.00,24.00,29.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 19:56:00,,3912.00,491.00,209.00,221.00,271.00,167.00,25.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 20:56:00,,3884.00,481.00,207.00,218.00,272.00,162.00,25.00,25.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 21:56:00,,3830.00,472.00,210.00,209.00,267.00,158.00,24.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 22:57:00,,3833.00,469.00,208.00,209.00,269.00,157.00,24.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/02/2008 23:57:00,,3846.00,469.00,210.00,210.00,266.00,157.00,24.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 00:57:00,,3837.00,470.00,211.00,208.00,269.00,155.00,24.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 01:57:00,,3815.00,468.00,209.00,207.00,268.00,157.00,23.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 02:57:00,,3802.00,466.00,215.00,209.00,268.00,156.00,25.00,28.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 03:57:00,,3813.00,462.00,214.00,205.00,270.00,154.00,23.00,26.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 04:58:00,,3784.00,464.00,215.00,205.00,269.00,153.00,23.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 05:58:00,,3765.00,457.00,215.00,200.00,266.00,154.00,23.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 06:58:00,,3761.00,459.00,216.00,202.00,267.00,152.00,24.00,27.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 07:58:00,,3779.00,490.00,209.00,227.00,274.00,173.00,26.00,29.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 08:58:00,,3768.00,518.00,210.00,238.00,275.00,186.00,24.00,33.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 09:59:00,,3790.00,519.00,211.00,243.00,279.00,187.00,25.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 10:59:00,,3819.00,522.00,215.00,240.00,279.00,192.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 11:59:00,,3823.00,524.00,214.00,245.00,287.00,189.00,26.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 12:59:00,,3819.00,527.00,215.00,245.00,282.00,191.00,25.00,33.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 13:59:00,,3846.00,528.00,214.00,242.00,282.00,191.00,25.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 15:00:00,,3819.00,524.00,212.00,246.00,284.00,192.00,24.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 16:00:00,,3852.00,530.00,214.00,249.00,281.00,193.00,24.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 17:00:00,,3842.00,531.00,212.00,246.00,281.00,191.00,27.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 18:00:00,,3879.00,531.00,218.00,244.00,280.00,195.00,27.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 19:00:00,,3902.00,543.00,217.00,249.00,284.00,194.00,27.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 20:01:00,,3925.00,543.00,216.00,249.00,285.00,195.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 20:34:00,,3917.00,542.00,214.00,244.00,282.00,195.00,28.00,33.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 21:50:00,,3834.00,524.00,217.00,232.00,276.00,185.00,27.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 22:50:00,,3855.00,530.00,214.00,238.00,282.00,191.00,25.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/03/2008 23:50:00,,3858.00,537.00,211.00,239.00,279.00,189.00,27.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 00:51:00,,3862.00,532.00,213.00,238.00,283.00,189.00,25.00,31.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 01:51:00,,3866.00,531.00,213.00,243.00,276.00,191.00,25.00,33.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 02:51:00,,3894.00,537.00,217.00,244.00,282.00,193.00,25.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 03:51:00,,3876.00,533.00,214.00,242.00,282.00,193.00,26.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 04:51:00,,3881.00,529.00,211.00,245.00,281.00,191.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 05:52:00,,3870.00,531.00,216.00,244.00,282.00,191.00,26.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 06:52:00,,3877.00,531.00,213.00,242.00,281.00,189.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 07:52:00,,3883.00,533.00,214.00,239.00,282.00,193.00,26.00,32.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 08:52:00,,3867.00,529.00,213.00,247.00,281.00,194.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 09:52:00,,3877.00,530.00,216.00,242.00,283.00,193.00,25.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 10:53:00,,3881.00,533.00,215.00,244.00,281.00,192.00,26.00,33.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 11:53:00,,3893.00,538.00,217.00,248.00,285.00,194.00,26.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 12:53:00,,3889.00,541.00,216.00,251.00,287.00,196.00,26.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 13:53:00,,3901.00,535.00,216.00,249.00,287.00,195.00,26.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 14:53:00,,3904.00,544.00,219.00,250.00,285.00,195.00,28.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 15:54:00,,3904.00,548.00,218.00,250.00,291.00,193.00,27.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 16:54:00,,3908.00,550.00,218.00,251.00,283.00,193.00,28.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 17:54:00,,3918.00,546.00,216.00,249.00,286.00,195.00,28.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 18:54:00,,3948.00,549.00,218.00,248.00,289.00,190.00,30.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 19:54:00,,3994.00,556.00,220.00,253.00,285.00,195.00,33.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 20:54:00,,3992.00,561.00,223.00,251.00,287.00,192.00,33.00,36.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 21:55:00,,4002.00,563.00,223.00,253.00,286.00,193.00,33.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 22:55:00,,4013.00,562.00,221.00,256.00,289.00,197.00,35.00,35.00,APPROVED
OK: OKLAHOMA CITY,01/04/2008 23:55:00,,4025.00,568.00,224.00,259.00,295.00,192.00,36.00,36.00,APPROVED
OK: OKLAHOMA CITY,01/05/2008 00:55:00,,4012.00,567.00,220.00,255.00,289.00,192.00,35.00,34.00,APPROVED
OK: OKLAHOMA CITY,01/05/2008 01:55:00,,4016.00,564.00,220.00,257.00,291.00,194.00,34.00,35.00,APPROVED
