LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OR: CORVALLIS,12/16/2010 21:54:00,,2398.00,302.00,130.00,141.00,185.00,127.00,17.00,21.00,APPROVED
OR: CORVALLIS,12/16/2010 21:56:00,,2399.00,310.00,123.00,151.00,180.00,121.00,18.00,14.00,APPROVED
OR: CORVALLIS,12/16/2010 23:28:00,,2323.00,296.00,130.00,140.00,185.00,125.00,17.00,21.00,APPROVED
OR: CORVALLIS,12/17/2010 00:29:00,,2269.00,287.00,130.00,141.00,183.00,125.00,17.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 01:29:00,,2167.00,279.00,127.00,138.00,178.00,121.00,16.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 02:29:00,,2206.00,280.00,128.00,140.00,182.00,122.00,17.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 03:29:00,,2218.00,285.00,128.00,140.00,182.00,119.00,16.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 04:30:00,,2233.00,284.00,130.00,142.00,185.00,117.00,17.00,18.00,APPROVED
OR: CORVALLIS,12/17/2010 05:30:00,,2237.00,283.00,128.00,139.00,182.00,119.00,18.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 06:30:00,,2260.00,290.00,129.00,142.00,184.00,117.00,18.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 07:30:00,,2278.00,289.00,131.00,142.00,185.00,118.00,18.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 08:31:00,,2304.00,291.00,135.00,143.00,184.00,117.00,18.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 09:31:00,,2319.00,296.00,132.00,145.00,188.00,117.00,18.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 10:31:00,,2351.00,299.00,136.00,146.00,187.00,120.00,18.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 11:32:00,,2411.00,316.00,147.00,154.00,199.00,123.00,20.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 12:32:00,,2428.00,320.00,146.00,162.00,198.00,124.00,21.00,19.00,APPROVED
OR: CORVALLIS,12/17/2010 13:32:00,,2431.00,314.00,141.00,162.00,202.00,125.00,21.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 14:32:00,,2424.00,321.00,146.00,161.00,203.00,128.00,21.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 15:23:00,,2419.00,317.00,146.00,164.00,205.00,127.00,22.00,20.00,APPROVED
OR: CORVALLIS,12/17/2010 16:27:00,,1731.00,1034.00,310.00,152.00,101.00,132.00,69.00,27.00,APPROVED
OR: CORVALLIS,12/17/2010 17:27:00,,1822.00,1092.00,321.00,160.00,103.00,132.00,72.00,28.00,APPROVED
OR: CORVALLIS,12/17/2010 18:27:00,,1818.00,1099.00,328.00,166.00,104.00,135.00,73.00,29.00,APPROVED
OR: CORVALLIS,12/17/2010 19:27:00,,1802.00,1101.00,325.00,168.00,107.00,136.00,74.00,28.00,APPROVED
OR: CORVALLIS,12/17/2010 20:28:00,,1793.00,1091.00,331.00,165.00,103.00,136.00,74.00,29.00,APPROVED
OR: CORVALLIS,12/17/2010 21:28:00,,1778.00,1082.00,323.00,163.00,102.00,133.00,75.00,29.00,APPROVED
OR: CORVALLIS,12/17/2010 22:28:00,,1695.00,1027.00,309.00,160.00,99.00,129.00,78.00,28.00,APPROVED
OR: CORVALLIS,12/17/2010 23:28:00,,1570.00,951.00,298.00,151.00,97.00,124.00,73.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 00:29:00,,1578.00,960.00,292.00,149.00,99.00,121.00,73.00,26.00,APPROVED
OR: CORVALLIS,12/18/2010 01:29:00,,1620.00,968.00,292.00,149.00,97.00,119.00,72.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 02:29:00,,1645.00,992.00,298.00,149.00,98.00,122.00,72.00,28.00,APPROVED
OR: CORVALLIS,12/18/2010 03:29:00,,1643.00,990.00,297.00,151.00,98.00,124.00,72.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 04:30:00,,1662.00,1006.00,306.00,152.00,98.00,124.00,67.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 05:30:00,,1664.00,994.00,299.00,151.00,96.00,125.00,70.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 06:30:00,,1642.00,983.00,299.00,149.00,97.00,125.00,70.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 07:31:00,,1657.00,996.00,300.00,151.00,98.00,124.00,70.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 08:31:00,,1743.00,1072.00,322.00,161.00,104.00,132.00,77.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 09:31:00,,1813.00,1150.00,341.00,174.00,108.00,140.00,81.00,29.00,APPROVED
OR: CORVALLIS,12/18/2010 10:31:00,,1854.00,1167.00,349.00,176.00,110.00,144.00,80.00,31.00,APPROVED
OR: CORVALLIS,12/18/2010 11:32:00,,1938.00,1247.00,371.00,194.00,115.00,148.00,85.00,31.00,APPROVED
OR: CORVALLIS,12/18/2010 12:32:00,,1860.00,1171.00,354.00,183.00,110.00,144.00,86.00,29.00,APPROVED
OR: CORVALLIS,12/18/2010 13:32:00,,1721.00,1075.00,321.00,165.00,103.00,132.00,80.00,29.00,APPROVED
OR: CORVALLIS,12/18/2010 14:32:00,,1666.00,1025.00,304.00,158.00,102.00,128.00,77.00,28.00,APPROVED
OR: CORVALLIS,12/18/2010 15:33:00,,1606.00,976.00,289.00,153.00,96.00,119.00,72.00,28.00,APPROVED
OR: CORVALLIS,12/18/2010 16:33:00,,1647.00,1020.00,304.00,154.00,99.00,126.00,77.00,28.00,APPROVED
OR: CORVALLIS,12/18/2010 17:33:00,,1575.00,947.00,284.00,147.00,96.00,116.00,71.00,26.00,APPROVED
OR: CORVALLIS,12/18/2010 18:33:00,,1499.00,876.00,266.00,133.00,91.00,108.00,69.00,26.00,APPROVED
OR: CORVALLIS,12/18/2010 19:34:00,,1466.00,863.00,261.00,133.00,88.00,103.00,67.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 20:34:00,,1475.00,864.00,257.00,129.00,88.00,107.00,69.00,26.00,APPROVED
OR: CORVALLIS,12/18/2010 21:34:00,,1477.00,872.00,262.00,133.00,90.00,105.00,69.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 22:35:00,,1428.00,839.00,255.00,131.00,92.00,101.00,68.00,27.00,APPROVED
OR: CORVALLIS,12/18/2010 23:35:00,,1431.00,840.00,258.00,133.00,89.00,103.00,71.00,27.00,APPROVED
OR: CORVALLIS,12/19/2010 00:35:00,,1448.00,848.00,258.00,131.00,89.00,103.00,70.00,27.00,APPROVED
OR: CORVALLIS,12/19/2010 01:35:00,,1432.00,843.00,257.00,129.00,90.00,105.00,69.00,25.00,APPROVED
OR: CORVALLIS,12/19/2010 02:36:00,,1449.00,849.00,259.00,130.00,88.00,104.00,69.00,26.00,APPROVED
OR: CORVALLIS,12/19/2010 03:36:00,,1492.00,896.00,270.00,137.00,93.00,109.00,70.00,26.00,APPROVED
OR: CORVALLIS,12/19/2010 04:36:00,,1516.00,894.00,270.00,138.00,90.00,107.00,70.00,27.00,APPROVED
OR: CORVALLIS,12/19/2010 05:36:00,,1475.00,848.00,255.00,130.00,88.00,104.00,69.00,26.00,APPROVED
OR: CORVALLIS,12/19/2010 06:37:00,,1453.00,848.00,256.00,127.00,87.00,103.00,65.00,27.00,APPROVED
OR: CORVALLIS,12/19/2010 07:37:00,,1461.00,844.00,256.00,130.00,86.00,106.00,67.00,25.00,APPROVED
OR: CORVALLIS,12/19/2010 08:37:00,,1454.00,839.00,256.00,131.00,87.00,101.00,66.00,24.00,APPROVED
OR: CORVALLIS,12/19/2010 09:37:00,,1458.00,847.00,254.00,127.00,87.00,105.00,67.00,25.00,APPROVED
OR: CORVALLIS,12/19/2010 10:38:00,,1481.00,853.00,253.00,128.00,86.00,105.00,67.00,25.00,APPROVED
OR: CORVALLIS,12/19/2010 11:38:00,,1491.00,859.00,256.00,130.00,87.00,107.00,63.00,25.00,APPROVED
OR: CORVALLIS,12/19/2010 12:38:00,,1511.00,874.00,258.00,129.00,87.00,108.00,67.00,24.00,APPROVED
OR: CORVALLIS,12/19/2010 13:38:00,,1523.00,880.00,264.00,130.00,89.00,109.00,64.00,26.00,APPROVED
OR: CORVALLIS,12/19/2010 14:39:00,,1533.00,890.00,265.00,133.00,90.00,110.00,64.00,25.00,APPROVED
OR: CORVALLIS,12/19/2010 15:39:00,,1548.00,891.00,270.00,132.00,90.00,112.00,63.00,26.00,APPROVED
OR: CORVALLIS,12/19/2010 16:39:00,,1563.00,895.00,270.00,132.00,89.00,113.00,64.00,26.00,APPROVED
