LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OR: PORTLAND,01/01/2010 02:15:00,,2902.00,1535.00,452.00,287.00,144.00,200.00,127.00,52.00,APPROVED
OR: PORTLAND,01/01/2010 05:16:00,,2753.00,1430.00,427.00,261.00,136.00,185.00,122.00,49.00,APPROVED
OR: PORTLAND,01/01/2010 06:16:00,,2781.00,1440.00,428.00,261.00,138.00,192.00,124.00,48.00,APPROVED
OR: PORTLAND,01/01/2010 07:16:00,,2719.00,1406.00,419.00,258.00,136.00,186.00,123.00,47.00,APPROVED
OR: PORTLAND,01/01/2010 19:19:00,,2596.00,1294.00,379.00,216.00,122.00,164.00,111.00,41.00,APPROVED
OR: PORTLAND,01/01/2010 21:19:00,,2571.00,1265.00,368.00,211.00,120.00,164.00,112.00,39.00,APPROVED
OR: PORTLAND,01/01/2010 23:19:00,,2607.00,1299.00,378.00,217.00,120.00,167.00,111.00,41.00,APPROVED
OR: PORTLAND,01/02/2010 00:20:00,,2620.00,1317.00,383.00,224.00,124.00,169.00,113.00,42.00,APPROVED
OR: PORTLAND,01/02/2010 04:20:00,,2549.00,1270.00,367.00,213.00,119.00,160.00,111.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 05:21:00,,2538.00,1249.00,362.00,209.00,120.00,165.00,108.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 07:21:00,,2562.00,1261.00,372.00,211.00,121.00,167.00,111.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 10:22:00,,2555.00,1249.00,363.00,210.00,121.00,163.00,110.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 14:22:00,,2558.00,1265.00,375.00,210.00,124.00,166.00,110.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 15:23:00,,2576.00,1269.00,370.00,213.00,121.00,166.00,110.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 19:23:00,,2576.00,1271.00,368.00,208.00,123.00,166.00,109.00,38.00,APPROVED
OR: PORTLAND,01/02/2010 21:24:00,,2581.00,1267.00,367.00,211.00,120.00,167.00,112.00,39.00,APPROVED
OR: PORTLAND,01/02/2010 22:24:00,,2587.00,1267.00,369.00,212.00,117.00,164.00,108.00,39.00,APPROVED
OR: PORTLAND,01/03/2010 00:24:00,,2587.00,1263.00,367.00,207.00,121.00,164.00,111.00,39.00,APPROVED
OR: PORTLAND,01/03/2010 01:24:00,,2599.00,1272.00,371.00,212.00,122.00,163.00,109.00,39.00,APPROVED
OR: PORTLAND,01/03/2010 02:25:00,,2604.00,1277.00,375.00,211.00,121.00,165.00,111.00,38.00,APPROVED
OR: PORTLAND,01/03/2010 06:25:00,,2643.00,1306.00,387.00,220.00,126.00,166.00,114.00,40.00,APPROVED
OR: PORTLAND,01/03/2010 13:27:00,,2735.00,1414.00,409.00,256.00,136.00,185.00,121.00,46.00,APPROVED
OR: PORTLAND,01/03/2010 14:27:00,,2770.00,1409.00,413.00,251.00,136.00,184.00,122.00,44.00,APPROVED
OR: PORTLAND,01/03/2010 17:28:00,,2742.00,1402.00,406.00,250.00,134.00,183.00,118.00,44.00,APPROVED
OR: PORTLAND,01/03/2010 19:28:00,,2759.00,1391.00,411.00,246.00,131.00,180.00,120.00,44.00,APPROVED
OR: PORTLAND,01/03/2010 20:28:00,,2729.00,1389.00,406.00,243.00,131.00,183.00,117.00,45.00,APPROVED
OR: PORTLAND,01/03/2010 21:28:00,,2735.00,1372.00,405.00,241.00,131.00,180.00,120.00,43.00,APPROVED
OR: PORTLAND,01/03/2010 22:29:00,,2739.00,1378.00,400.00,241.00,129.00,180.00,117.00,43.00,APPROVED
OR: PORTLAND,01/03/2010 23:29:00,,2737.00,1372.00,406.00,236.00,130.00,183.00,122.00,43.00,APPROVED
OR: PORTLAND,01/04/2010 01:29:00,,2684.00,1342.00,393.00,231.00,128.00,175.00,116.00,44.00,APPROVED
OR: PORTLAND,01/04/2010 02:29:00,,2697.00,1353.00,395.00,228.00,128.00,173.00,115.00,41.00,APPROVED
OR: PORTLAND,01/04/2010 06:30:00,,2702.00,1380.00,397.00,237.00,129.00,177.00,116.00,44.00,APPROVED
OR: PORTLAND,01/04/2010 09:31:00,,2739.00,1386.00,405.00,250.00,132.00,179.00,118.00,45.00,APPROVED
OR: PORTLAND,01/04/2010 12:31:00,,2762.00,1405.00,415.00,254.00,135.00,187.00,121.00,46.00,APPROVED
OR: PORTLAND,01/04/2010 13:31:00,,2756.00,1422.00,421.00,255.00,138.00,185.00,119.00,47.00,APPROVED
OR: PORTLAND,01/04/2010 15:32:00,,2762.00,1429.00,418.00,256.00,140.00,186.00,122.00,46.00,APPROVED
OR: PORTLAND,01/04/2010 18:32:00,,2786.00,1422.00,416.00,254.00,139.00,186.00,119.00,45.00,APPROVED
OR: PORTLAND,01/04/2010 19:33:00,,2794.00,1420.00,416.00,253.00,134.00,187.00,124.00,46.00,APPROVED
OR: PORTLAND,01/04/2010 20:33:00,,2816.00,1450.00,426.00,261.00,138.00,189.00,123.00,48.00,APPROVED
