LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
PA: BLOOMSBURG,01/02/2018 20:02:00,,1704.00,921.00,270.00,120.00,76.00,88.00,44.00,32.00,APPROVED
PA: BLOOMSBURG,01/02/2018 21:02:00,,1721.00,937.00,275.00,125.00,77.00,93.00,45.00,32.00,APPROVED
PA: BLOOMSBURG,01/02/2018 22:03:00,,1738.00,940.00,278.00,128.00,76.00,91.00,46.00,32.00,APPROVED
PA: BLOOMSBURG,01/02/2018 23:03:00,,1737.00,962.00,277.00,131.00,76.00,96.00,45.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 00:03:00,,1748.00,963.00,284.00,129.00,79.00,96.00,48.00,31.00,APPROVED
PA: BLOOMSBURG,01/03/2018 01:03:00,,1752.00,974.00,286.00,133.00,80.00,96.00,45.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 02:04:00,,1742.00,975.00,285.00,130.00,80.00,96.00,46.00,31.00,APPROVED
PA: BLOOMSBURG,01/03/2018 03:04:00,,1745.00,967.00,288.00,130.00,75.00,95.00,46.00,33.00,APPROVED
PA: BLOOMSBURG,01/03/2018 04:04:00,,1756.00,975.00,293.00,133.00,77.00,97.00,46.00,31.00,APPROVED
PA: BLOOMSBURG,01/03/2018 05:04:00,,1741.00,973.00,291.00,130.00,78.00,99.00,45.00,33.00,APPROVED
PA: BLOOMSBURG,01/03/2018 06:04:00,,1760.00,983.00,292.00,129.00,79.00,102.00,44.00,33.00,APPROVED
PA: BLOOMSBURG,01/03/2018 07:05:00,,1759.00,988.00,293.00,132.00,81.00,99.00,45.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 08:05:00,,1771.00,996.00,295.00,132.00,81.00,101.00,46.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 09:05:00,,1771.00,1007.00,299.00,137.00,83.00,105.00,46.00,33.00,APPROVED
PA: BLOOMSBURG,01/03/2018 10:05:00,,1793.00,1027.00,305.00,137.00,81.00,107.00,48.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 11:05:00,,1787.00,1027.00,305.00,140.00,83.00,107.00,47.00,34.00,APPROVED
PA: BLOOMSBURG,01/03/2018 12:06:00,,1812.00,1058.00,317.00,141.00,85.00,109.00,49.00,34.00,APPROVED
PA: BLOOMSBURG,01/03/2018 13:06:00,,1883.00,1133.00,338.00,152.00,90.00,119.00,54.00,33.00,APPROVED
PA: BLOOMSBURG,01/03/2018 14:06:00,,1961.00,1208.00,367.00,168.00,99.00,128.00,59.00,35.00,APPROVED
PA: BLOOMSBURG,01/03/2018 15:06:00,,2035.00,1270.00,383.00,179.00,102.00,135.00,64.00,38.00,APPROVED
PA: BLOOMSBURG,01/03/2018 16:06:00,,2021.00,1258.00,375.00,182.00,105.00,133.00,66.00,34.00,APPROVED
PA: BLOOMSBURG,01/03/2018 17:07:00,,1966.00,1197.00,357.00,171.00,98.00,125.00,64.00,35.00,APPROVED
PA: BLOOMSBURG,01/03/2018 18:07:00,,1853.00,1073.00,321.00,156.00,90.00,110.00,57.00,34.00,APPROVED
PA: BLOOMSBURG,01/03/2018 19:07:00,,1794.00,1023.00,296.00,145.00,83.00,97.00,56.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 20:07:00,,1772.00,995.00,285.00,141.00,83.00,95.00,54.00,33.00,APPROVED
PA: BLOOMSBURG,01/03/2018 21:07:00,,1771.00,990.00,288.00,138.00,81.00,92.00,54.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 22:08:00,,1767.00,1004.00,289.00,139.00,80.00,96.00,52.00,32.00,APPROVED
PA: BLOOMSBURG,01/03/2018 23:08:00,,1756.00,983.00,288.00,136.00,80.00,93.00,51.00,32.00,APPROVED
PA: BLOOMSBURG,01/04/2018 00:08:00,,1759.00,972.00,284.00,134.00,78.00,92.00,51.00,32.00,APPROVED
PA: BLOOMSBURG,01/04/2018 01:08:00,,1771.00,990.00,286.00,135.00,82.00,91.00,51.00,32.00,APPROVED
PA: BLOOMSBURG,01/04/2018 02:08:00,,1805.00,1011.00,293.00,139.00,81.00,98.00,53.00,32.00,APPROVED
PA: BLOOMSBURG,01/04/2018 03:09:00,,1827.00,1038.00,302.00,145.00,86.00,100.00,53.00,32.00,APPROVED
PA: BLOOMSBURG,01/04/2018 04:09:00,,1852.00,1076.00,315.00,147.00,88.00,107.00,56.00,33.00,APPROVED
PA: BLOOMSBURG,01/04/2018 05:09:00,,1904.00,1129.00,328.00,158.00,92.00,114.00,59.00,34.00,APPROVED
PA: BLOOMSBURG,01/04/2018 06:09:00,,1905.00,1155.00,336.00,166.00,92.00,118.00,61.00,35.00,APPROVED
