LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
PA: PHILADELPHIA,01/01/2013 00:48:00,,2085.00,1126.00,326.00,162.00,101.00,126.00,80.00,46.00,APPROVED
PA: PHILADELPHIA,01/01/2013 01:48:00,,2088.00,1135.00,326.00,166.00,101.00,125.00,81.00,48.00,APPROVED
PA: PHILADELPHIA,01/01/2013 02:48:00,,2084.00,1121.00,319.00,165.00,104.00,124.00,80.00,47.00,APPROVED
PA: PHILADELPHIA,01/01/2013 03:48:00,,2067.00,1127.00,322.00,160.00,98.00,122.00,79.00,47.00,APPROVED
PA: PHILADELPHIA,01/01/2013 04:49:00,,2060.00,1104.00,316.00,161.00,97.00,121.00,78.00,46.00,APPROVED
PA: PHILADELPHIA,01/01/2013 05:49:00,,2060.00,1105.00,316.00,159.00,100.00,118.00,80.00,46.00,APPROVED
PA: PHILADELPHIA,01/01/2013 06:49:00,,2056.00,1092.00,310.00,157.00,95.00,119.00,80.00,46.00,APPROVED
PA: PHILADELPHIA,01/01/2013 07:49:00,,2057.00,1095.00,315.00,160.00,99.00,117.00,78.00,46.00,APPROVED
PA: PHILADELPHIA,01/01/2013 08:50:00,,2048.00,1108.00,308.00,158.00,99.00,117.00,79.00,48.00,APPROVED
PA: PHILADELPHIA,01/01/2013 09:50:00,,2058.00,1111.00,318.00,162.00,101.00,121.00,82.00,47.00,APPROVED
PA: PHILADELPHIA,01/01/2013 10:50:00,,2074.00,1114.00,320.00,162.00,99.00,122.00,81.00,47.00,APPROVED
PA: PHILADELPHIA,01/01/2013 11:50:00,,2083.00,1122.00,322.00,164.00,100.00,123.00,82.00,48.00,APPROVED
PA: PHILADELPHIA,01/01/2013 12:50:00,,2097.00,1142.00,328.00,168.00,101.00,127.00,85.00,46.00,APPROVED
PA: PHILADELPHIA,01/01/2013 13:51:00,,2144.00,1197.00,345.00,178.00,106.00,133.00,86.00,49.00,APPROVED
PA: PHILADELPHIA,01/01/2013 14:51:00,,2170.00,1228.00,352.00,189.00,110.00,138.00,90.00,49.00,APPROVED
PA: PHILADELPHIA,01/01/2013 15:51:00,,2177.00,1248.00,360.00,191.00,111.00,142.00,89.00,48.00,APPROVED
PA: PHILADELPHIA,01/01/2013 16:51:00,,2183.00,1245.00,361.00,196.00,114.00,142.00,93.00,49.00,APPROVED
