LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
PA: PITTSBURGH,01/01/2008 00:47:00,,3766.00,474.00,231.00,225.00,294.00,180.00,34.00,44.00,APPROVED
PA: PITTSBURGH,01/01/2008 01:47:00,,3828.00,491.00,242.00,231.00,300.00,184.00,37.00,44.00,APPROVED
PA: PITTSBURGH,01/01/2008 02:47:00,,3844.00,491.00,243.00,237.00,309.00,185.00,37.00,46.00,APPROVED
PA: PITTSBURGH,01/01/2008 03:47:00,,3918.00,499.00,254.00,239.00,315.00,190.00,39.00,46.00,APPROVED
PA: PITTSBURGH,01/01/2008 04:48:00,,3928.00,504.00,259.00,244.00,313.00,190.00,38.00,45.00,APPROVED
PA: PITTSBURGH,01/01/2008 05:48:00,,3969.00,505.00,263.00,246.00,312.00,191.00,38.00,45.00,APPROVED
PA: PITTSBURGH,01/01/2008 06:48:00,,4018.00,518.00,265.00,252.00,319.00,197.00,39.00,46.00,APPROVED
PA: PITTSBURGH,01/01/2008 07:48:00,,3987.00,516.00,260.00,254.00,321.00,195.00,40.00,46.00,APPROVED
PA: PITTSBURGH,01/01/2008 08:48:00,,3817.00,498.00,234.00,239.00,299.00,183.00,37.00,43.00,APPROVED
PA: PITTSBURGH,01/01/2008 09:49:00,,3771.00,477.00,226.00,230.00,293.00,179.00,35.00,42.00,APPROVED
PA: PITTSBURGH,01/01/2008 10:49:00,,3677.00,460.00,224.00,221.00,282.00,178.00,35.00,43.00,APPROVED
PA: PITTSBURGH,01/01/2008 11:49:00,,3731.00,468.00,221.00,221.00,282.00,176.00,37.00,43.00,APPROVED
PA: PITTSBURGH,01/01/2008 12:49:00,,3765.00,479.00,233.00,224.00,295.00,182.00,35.00,43.00,APPROVED
PA: PITTSBURGH,01/01/2008 13:49:00,,3723.00,477.00,232.00,225.00,288.00,181.00,35.00,42.00,APPROVED
PA: PITTSBURGH,01/01/2008 14:50:00,,3719.00,473.00,234.00,225.00,292.00,182.00,37.00,43.00,APPROVED
PA: PITTSBURGH,01/01/2008 15:50:00,,3789.00,482.00,240.00,230.00,298.00,182.00,36.00,44.00,APPROVED
PA: PITTSBURGH,01/01/2008 16:50:00,,3841.00,493.00,247.00,237.00,307.00,186.00,37.00,45.00,APPROVED
