LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
PR: SAN JUAN,01/01/2013 00:00:00,,760.00,448.00,139.00,72.00,47.00,64.00,32.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 01:00:00,,777.00,458.00,144.00,73.00,48.00,64.00,34.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 02:00:00,,773.00,459.00,146.00,75.00,48.00,66.00,34.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 03:00:00,,774.00,461.00,146.00,75.00,49.00,66.00,33.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 04:01:00,,781.00,463.00,147.00,76.00,47.00,66.00,34.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 05:01:00,,781.00,475.00,153.00,78.00,49.00,67.00,34.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 06:01:00,,804.00,483.00,154.00,82.00,51.00,69.00,33.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 07:01:00,,797.00,496.00,156.00,82.00,52.00,72.00,37.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 08:01:00,,802.00,489.00,156.00,81.00,52.00,70.00,37.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 09:02:00,,806.00,491.00,158.00,81.00,51.00,71.00,36.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 10:02:00,,806.00,494.00,156.00,83.00,51.00,71.00,36.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 11:02:00,,797.00,494.00,152.00,80.00,51.00,70.00,36.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 12:02:00,,796.00,482.00,155.00,79.00,52.00,68.00,36.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 13:02:00,,770.00,469.00,152.00,77.00,50.00,67.00,36.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 14:03:00,,728.00,440.00,144.00,76.00,48.00,66.00,35.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 15:03:00,,704.00,433.00,139.00,73.00,48.00,63.00,34.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 16:03:00,,699.00,423.00,141.00,74.00,47.00,63.00,36.00,19.00,APPROVED
PR: SAN JUAN,01/01/2013 17:03:00,,680.00,416.00,137.00,73.00,47.00,61.00,35.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 18:03:00,,680.00,413.00,137.00,71.00,48.00,61.00,35.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 19:04:00,,687.00,418.00,136.00,73.00,47.00,63.00,37.00,18.00,APPROVED
PR: SAN JUAN,01/01/2013 20:04:00,,675.00,410.00,141.00,72.00,46.00,62.00,35.00,17.00,APPROVED
PR: SAN JUAN,01/01/2013 21:04:00,,674.00,416.00,135.00,70.00,47.00,61.00,37.00,17.00,APPROVED
