LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
RI: PROVIDENCE,04/08/2022 15:32:00,,2000.00,1151.00,404.00,195.00,142.00,166.00,89.00,30.00,APPROVED
RI: PROVIDENCE,04/08/2022 16:32:00,,1956.00,1121.00,400.00,194.00,140.00,167.00,87.00,30.00,APPROVED
RI: PROVIDENCE,04/08/2022 17:32:00,,2009.00,1163.00,407.00,201.00,141.00,166.00,88.00,30.00,APPROVED
RI: PROVIDENCE,04/08/2022 18:32:00,,2021.00,1154.00,408.00,202.00,143.00,169.00,89.00,30.00,APPROVED
RI: PROVIDENCE,04/08/2022 19:32:00,,2009.00,1150.00,407.00,201.00,141.00,172.00,91.00,30.00,APPROVED
RI: PROVIDENCE,04/08/2022 20:33:00,,1975.00,1145.00,407.00,199.00,142.00,167.00,88.00,31.00,APPROVED
RI: PROVIDENCE,04/08/2022 21:33:00,,1963.00,1127.00,405.00,200.00,142.00,168.00,89.00,32.00,APPROVED
RI: PROVIDENCE,04/08/2022 22:33:00,,1956.00,1118.00,410.00,200.00,144.00,171.00,91.00,30.00,APPROVED
RI: PROVIDENCE,04/08/2022 23:33:00,,2027.00,1173.00,416.00,200.00,141.00,172.00,88.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 00:33:00,,2124.00,1231.00,415.00,207.00,144.00,170.00,89.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 01:34:00,,2196.00,1249.00,422.00,211.00,145.00,176.00,90.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 02:34:00,,2267.00,1292.00,424.00,210.00,148.00,173.00,88.00,33.00,APPROVED
RI: PROVIDENCE,04/09/2022 03:34:00,,2290.00,1295.00,425.00,212.00,149.00,174.00,87.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 04:34:00,,2293.00,1296.00,432.00,210.00,147.00,176.00,89.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 05:34:00,,2308.00,1320.00,435.00,215.00,145.00,174.00,88.00,30.00,APPROVED
RI: PROVIDENCE,04/09/2022 06:35:00,,2323.00,1328.00,437.00,211.00,147.00,178.00,89.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 07:35:00,,2301.00,1314.00,433.00,214.00,146.00,180.00,89.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 08:35:00,,2314.00,1324.00,437.00,215.00,148.00,179.00,88.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 09:35:00,,2350.00,1337.00,438.00,215.00,148.00,179.00,86.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 10:35:00,,2352.00,1335.00,439.00,209.00,146.00,179.00,85.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 11:36:00,,2342.00,1339.00,442.00,214.00,148.00,179.00,86.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 12:36:00,,2269.00,1311.00,437.00,210.00,149.00,177.00,87.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 13:36:00,,2221.00,1285.00,438.00,209.00,149.00,179.00,88.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 14:36:00,,2307.00,1336.00,453.00,218.00,151.00,185.00,90.00,33.00,APPROVED
RI: PROVIDENCE,04/09/2022 15:36:00,,2123.00,1222.00,432.00,208.00,146.00,178.00,86.00,32.00,APPROVED
RI: PROVIDENCE,04/09/2022 16:37:00,,2053.00,1189.00,416.00,204.00,144.00,173.00,88.00,31.00,APPROVED
RI: PROVIDENCE,04/09/2022 17:37:00,,2071.00,1182.00,417.00,203.00,143.00,175.00,87.00,31.00,APPROVED
