LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
SD: PIERRE,01/01/2017 00:28:00,,2698.00,1537.00,420.00,190.00,112.00,144.00,74.00,27.00,APPROVED
SD: PIERRE,01/01/2017 01:28:00,,2722.00,1539.00,420.00,192.00,110.00,144.00,75.00,28.00,APPROVED
SD: PIERRE,01/01/2017 02:28:00,,2712.00,1538.00,413.00,194.00,111.00,142.00,74.00,28.00,APPROVED
SD: PIERRE,01/01/2017 03:28:00,,2746.00,1571.00,425.00,194.00,114.00,148.00,76.00,28.00,APPROVED
SD: PIERRE,01/01/2017 04:29:00,,2714.00,1538.00,421.00,192.00,110.00,140.00,74.00,28.00,APPROVED
SD: PIERRE,01/01/2017 05:29:00,,2708.00,1506.00,406.00,189.00,109.00,137.00,72.00,27.00,APPROVED
SD: PIERRE,01/01/2017 06:29:00,,2738.00,1530.00,408.00,188.00,109.00,137.00,73.00,26.00,APPROVED
SD: PIERRE,01/01/2017 07:29:00,,2766.00,1550.00,410.00,193.00,110.00,137.00,75.00,27.00,APPROVED
SD: PIERRE,01/01/2017 08:29:00,,2820.00,1576.00,417.00,195.00,112.00,142.00,77.00,27.00,APPROVED
SD: PIERRE,01/01/2017 09:30:00,,2830.00,1595.00,421.00,201.00,110.00,140.00,79.00,27.00,APPROVED
SD: PIERRE,01/01/2017 10:30:00,,2861.00,1625.00,425.00,205.00,113.00,144.00,79.00,29.00,APPROVED
SD: PIERRE,01/01/2017 11:30:00,,2900.00,1649.00,433.00,213.00,116.00,147.00,81.00,29.00,APPROVED
SD: PIERRE,01/01/2017 12:30:00,,2924.00,1703.00,445.00,222.00,121.00,153.00,84.00,28.00,APPROVED
SD: PIERRE,01/01/2017 13:30:00,,2939.00,1713.00,453.00,223.00,120.00,158.00,85.00,30.00,APPROVED
SD: PIERRE,01/01/2017 14:31:00,,2975.00,1745.00,461.00,232.00,124.00,159.00,88.00,29.00,APPROVED
SD: PIERRE,01/01/2017 15:31:00,,2945.00,1731.00,453.00,228.00,124.00,158.00,87.00,30.00,APPROVED
SD: PIERRE,01/01/2017 16:31:00,,2919.00,1710.00,458.00,222.00,119.00,157.00,85.00,29.00,APPROVED
SD: PIERRE,01/01/2017 17:31:00,,2779.00,1627.00,440.00,208.00,115.00,155.00,82.00,29.00,APPROVED
SD: PIERRE,01/01/2017 18:31:00,,2670.00,1534.00,421.00,198.00,112.00,149.00,76.00,28.00,APPROVED
SD: PIERRE,01/01/2017 19:32:00,,2604.00,1472.00,402.00,185.00,108.00,136.00,73.00,27.00,APPROVED
SD: PIERRE,01/01/2017 20:32:00,,2587.00,1430.00,384.00,180.00,102.00,127.00,67.00,25.00,APPROVED
SD: PIERRE,01/01/2017 21:32:00,,2557.00,1378.00,367.00,169.00,98.00,122.00,66.00,26.00,APPROVED
SD: PIERRE,01/01/2017 22:32:00,,2530.00,1366.00,355.00,163.00,100.00,118.00,65.00,25.00,APPROVED
SD: PIERRE,01/01/2017 23:32:00,,2516.00,1346.00,352.00,166.00,92.00,114.00,65.00,24.00,APPROVED
SD: PIERRE,01/02/2017 00:33:00,,2531.00,1357.00,359.00,165.00,98.00,114.00,67.00,24.00,APPROVED
SD: PIERRE,01/02/2017 01:33:00,,2514.00,1351.00,360.00,165.00,94.00,117.00,64.00,24.00,APPROVED
SD: PIERRE,01/02/2017 02:33:00,,2503.00,1333.00,352.00,168.00,95.00,116.00,66.00,24.00,APPROVED
SD: PIERRE,01/02/2017 03:33:00,,2512.00,1352.00,354.00,166.00,99.00,116.00,65.00,24.00,APPROVED
SD: PIERRE,01/02/2017 04:34:00,,2517.00,1355.00,359.00,166.00,96.00,119.00,65.00,25.00,APPROVED
SD: PIERRE,01/02/2017 05:34:00,,2532.00,1359.00,366.00,170.00,96.00,117.00,65.00,25.00,APPROVED
SD: PIERRE,01/02/2017 06:34:00,,2542.00,1375.00,365.00,167.00,99.00,119.00,66.00,25.00,APPROVED
SD: PIERRE,01/02/2017 07:34:00,,2564.00,1405.00,373.00,173.00,101.00,123.00,67.00,24.00,APPROVED
SD: PIERRE,01/02/2017 08:34:00,,2575.00,1411.00,383.00,174.00,100.00,126.00,67.00,26.00,APPROVED
SD: PIERRE,01/02/2017 09:35:00,,2601.00,1434.00,390.00,178.00,104.00,130.00,68.00,25.00,APPROVED
SD: PIERRE,01/02/2017 10:35:00,,2611.00,1456.00,398.00,184.00,106.00,131.00,71.00,25.00,APPROVED
SD: PIERRE,01/02/2017 11:35:00,,2571.00,1455.00,394.00,181.00,103.00,133.00,67.00,26.00,APPROVED
SD: PIERRE,01/02/2017 12:35:00,,2598.00,1446.00,395.00,185.00,106.00,132.00,71.00,25.00,APPROVED
SD: PIERRE,01/02/2017 13:35:00,,2608.00,1474.00,398.00,186.00,106.00,137.00,74.00,26.00,APPROVED
SD: PIERRE,01/02/2017 14:36:00,,2635.00,1491.00,407.00,189.00,107.00,139.00,75.00,26.00,APPROVED
SD: PIERRE,01/02/2017 15:36:00,,2647.00,1497.00,409.00,195.00,111.00,140.00,74.00,28.00,APPROVED
SD: PIERRE,01/02/2017 16:36:00,,2641.00,1493.00,407.00,191.00,109.00,138.00,75.00,27.00,APPROVED
SD: PIERRE,01/02/2017 17:36:00,,2603.00,1460.00,402.00,183.00,107.00,137.00,71.00,27.00,APPROVED
SD: PIERRE,01/02/2017 18:36:00,,2609.00,1452.00,396.00,183.00,105.00,133.00,71.00,28.00,APPROVED
SD: PIERRE,01/02/2017 19:37:00,,2861.00,1663.00,457.00,212.00,120.00,156.00,82.00,30.00,APPROVED
