LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TN: NASHVILLE,01/01/2024 00:41:00,39.00,1209.00,822.00,244.00,152.00,96.00,129.00,105.00,17.00,APPROVED
TN: NASHVILLE,01/01/2024 01:41:00,38.00,1216.00,838.00,254.00,158.00,98.00,135.00,104.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 02:41:00,37.00,1201.00,830.00,252.00,157.00,96.00,132.00,107.00,15.00,APPROVED
TN: NASHVILLE,01/01/2024 03:41:00,39.00,1202.00,827.00,248.00,157.00,97.00,135.00,104.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 04:42:00,37.00,1180.00,833.00,250.00,165.00,94.00,133.00,102.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 05:42:00,37.00,1176.00,815.00,243.00,156.00,95.00,131.00,104.00,15.00,APPROVED
TN: NASHVILLE,01/01/2024 06:42:00,37.00,1167.00,805.00,241.00,157.00,93.00,134.00,105.00,17.00,APPROVED
TN: NASHVILLE,01/01/2024 07:42:00,38.00,1175.00,803.00,246.00,154.00,95.00,130.00,101.00,15.00,APPROVED
TN: NASHVILLE,01/01/2024 08:42:00,41.00,1197.00,823.00,243.00,157.00,94.00,131.00,102.00,18.00,APPROVED
TN: NASHVILLE,01/01/2024 09:43:00,40.00,1211.00,841.00,247.00,158.00,98.00,131.00,106.00,18.00,APPROVED
TN: NASHVILLE,01/01/2024 10:43:00,40.00,1192.00,828.00,247.00,159.00,97.00,135.00,103.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 11:43:00,39.00,1192.00,822.00,247.00,158.00,95.00,131.00,104.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 12:43:00,39.00,1194.00,824.00,246.00,157.00,95.00,130.00,104.00,17.00,APPROVED
TN: NASHVILLE,01/01/2024 13:43:00,39.00,1212.00,837.00,250.00,159.00,95.00,133.00,105.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 14:44:00,38.00,1211.00,846.00,255.00,158.00,99.00,133.00,104.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 15:44:00,39.00,1181.00,822.00,246.00,159.00,93.00,132.00,103.00,17.00,APPROVED
TN: NASHVILLE,01/01/2024 16:44:00,36.00,1161.00,794.00,243.00,151.00,94.00,130.00,101.00,17.00,APPROVED
TN: NASHVILLE,01/01/2024 17:44:00,38.00,1159.00,788.00,241.00,150.00,94.00,128.00,100.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 18:45:00,38.00,1129.00,780.00,235.00,146.00,92.00,125.00,99.00,15.00,APPROVED
TN: NASHVILLE,01/01/2024 19:45:00,39.00,1116.00,755.00,227.00,143.00,88.00,124.00,99.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 20:45:00,40.00,1103.00,745.00,225.00,139.00,89.00,120.00,97.00,16.00,APPROVED
TN: NASHVILLE,01/01/2024 21:45:00,39.00,1106.00,737.00,222.00,139.00,89.00,117.00,97.00,15.00,APPROVED
TN: NASHVILLE,01/01/2024 22:45:00,40.00,1096.00,736.00,225.00,134.00,88.00,120.00,94.00,14.00,APPROVED
TN: NASHVILLE,01/01/2024 23:46:00,37.00,1093.00,726.00,224.00,138.00,88.00,119.00,94.00,16.00,APPROVED
TN: NASHVILLE,01/02/2024 00:46:00,38.00,1083.00,724.00,223.00,134.00,87.00,117.00,94.00,17.00,APPROVED
TN: NASHVILLE,01/02/2024 01:46:00,37.00,1082.00,723.00,220.00,133.00,85.00,117.00,94.00,15.00,APPROVED
TN: NASHVILLE,01/02/2024 02:46:00,38.00,1082.00,720.00,222.00,134.00,86.00,117.00,93.00,16.00,APPROVED
TN: NASHVILLE,01/02/2024 03:46:00,38.00,1080.00,713.00,219.00,131.00,85.00,117.00,94.00,15.00,APPROVED
TN: NASHVILLE,01/02/2024 04:47:00,38.00,1080.00,724.00,217.00,131.00,87.00,118.00,93.00,13.00,APPROVED
