LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: AUSTIN,01/04/2018 17:17:00,50.00,1860.00,1130.00,334.00,180.00,121.00,171.00,125.00,59.00,APPROVED
TX: AUSTIN,01/04/2018 18:17:00,50.00,1867.00,1181.00,340.00,192.00,121.00,182.00,128.00,66.00,APPROVED
TX: AUSTIN,01/04/2018 19:17:00,49.00,1858.00,1167.00,343.00,198.00,122.00,180.00,126.00,67.00,APPROVED
TX: AUSTIN,01/04/2018 20:18:00,49.00,1840.00,1161.00,337.00,193.00,120.00,176.00,125.00,66.00,APPROVED
TX: AUSTIN,01/04/2018 21:18:00,48.00,1856.00,1162.00,334.00,191.00,120.00,178.00,127.00,66.00,APPROVED
TX: AUSTIN,01/04/2018 22:18:00,49.00,1819.00,1143.00,339.00,187.00,120.00,175.00,124.00,64.00,APPROVED
TX: AUSTIN,01/04/2018 23:18:00,46.00,1811.00,1137.00,337.00,189.00,121.00,179.00,126.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 00:19:00,46.00,1831.00,1150.00,332.00,189.00,121.00,177.00,126.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 01:19:00,48.00,1830.00,1150.00,336.00,190.00,123.00,175.00,124.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 02:19:00,47.00,1832.00,1160.00,336.00,188.00,120.00,177.00,127.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 03:19:00,45.00,1844.00,1161.00,339.00,192.00,122.00,176.00,129.00,66.00,APPROVED
TX: AUSTIN,01/05/2018 04:19:00,46.00,1831.00,1166.00,333.00,189.00,121.00,180.00,129.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 05:20:00,45.00,1821.00,1142.00,332.00,188.00,120.00,175.00,128.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 06:20:00,47.00,1830.00,1149.00,334.00,191.00,120.00,178.00,126.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 07:20:00,47.00,1823.00,1151.00,334.00,189.00,121.00,176.00,127.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 08:20:00,47.00,1846.00,1160.00,338.00,189.00,120.00,180.00,123.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 09:21:00,47.00,1835.00,1155.00,338.00,192.00,121.00,176.00,125.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 10:21:00,46.00,1835.00,1151.00,339.00,189.00,120.00,175.00,126.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 11:21:00,48.00,1867.00,1180.00,337.00,192.00,121.00,176.00,128.00,61.00,APPROVED
TX: AUSTIN,01/05/2018 12:21:00,47.00,1853.00,1184.00,338.00,196.00,124.00,184.00,129.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 13:21:00,46.00,1850.00,1176.00,339.00,190.00,122.00,177.00,128.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 14:22:00,47.00,1848.00,1166.00,334.00,190.00,124.00,178.00,128.00,61.00,APPROVED
TX: AUSTIN,01/05/2018 15:22:00,49.00,1823.00,1150.00,332.00,190.00,121.00,178.00,131.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 16:22:00,46.00,1817.00,1130.00,332.00,188.00,118.00,175.00,124.00,63.00,APPROVED
TX: AUSTIN,01/05/2018 17:22:00,49.00,1798.00,1126.00,333.00,187.00,118.00,172.00,123.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 18:23:00,49.00,1798.00,1137.00,331.00,187.00,119.00,173.00,123.00,64.00,APPROVED
TX: AUSTIN,01/05/2018 19:23:00,48.00,1806.00,1124.00,333.00,186.00,119.00,173.00,122.00,66.00,APPROVED
