LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: CORPUS CHRISTI,01/01/2017 01:31:00,,2399.00,1540.00,442.00,224.00,134.00,152.00,103.00,66.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 02:31:00,,2420.00,1573.00,455.00,234.00,137.00,156.00,108.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 03:31:00,,2462.00,1603.00,459.00,241.00,139.00,163.00,107.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 04:32:00,,2447.00,1601.00,465.00,245.00,143.00,163.00,108.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 05:32:00,,2439.00,1597.00,462.00,239.00,139.00,162.00,109.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 06:32:00,,2431.00,1584.00,462.00,238.00,138.00,162.00,107.00,66.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 07:32:00,,2421.00,1590.00,456.00,240.00,140.00,161.00,106.00,70.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 08:32:00,,2476.00,1660.00,479.00,254.00,144.00,167.00,113.00,70.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 09:33:00,,2533.00,1755.00,499.00,273.00,152.00,180.00,118.00,72.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 10:33:00,,2600.00,1834.00,530.00,291.00,161.00,190.00,125.00,76.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 11:33:00,,2727.00,1942.00,558.00,313.00,166.00,203.00,131.00,77.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 12:33:00,,3115.00,2302.00,646.00,379.00,190.00,241.00,147.00,85.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 15:34:00,,2454.00,1617.00,475.00,242.00,141.00,163.00,109.00,72.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 16:34:00,,2414.00,1592.00,464.00,228.00,135.00,157.00,105.00,71.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 19:35:00,,2422.00,1583.00,462.00,225.00,133.00,157.00,106.00,72.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 21:35:00,,2382.00,1547.00,450.00,223.00,132.00,156.00,104.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 22:35:00,,2385.00,1549.00,446.00,220.00,131.00,151.00,104.00,70.00,APPROVED
TX: CORPUS CHRISTI,01/01/2017 23:36:00,,2373.00,1522.00,445.00,218.00,132.00,156.00,106.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 00:36:00,,2350.00,1519.00,444.00,218.00,134.00,150.00,103.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 01:36:00,,2353.00,1508.00,441.00,220.00,132.00,150.00,104.00,70.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 02:36:00,,2339.00,1494.00,433.00,220.00,131.00,148.00,102.00,67.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 03:36:00,,2325.00,1506.00,437.00,218.00,130.00,149.00,104.00,70.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 05:37:00,,2334.00,1503.00,438.00,216.00,129.00,151.00,105.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 06:37:00,,2362.00,1496.00,433.00,219.00,131.00,150.00,103.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 07:37:00,,2356.00,1492.00,437.00,215.00,133.00,151.00,101.00,67.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 08:37:00,,2333.00,1496.00,439.00,218.00,133.00,151.00,104.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 09:38:00,,2358.00,1502.00,433.00,219.00,132.00,153.00,104.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 10:38:00,,2350.00,1517.00,442.00,223.00,131.00,153.00,104.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 11:38:00,,2374.00,1527.00,439.00,226.00,132.00,154.00,105.00,67.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 12:38:00,,2382.00,1547.00,444.00,231.00,135.00,155.00,106.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 15:39:00,,2488.00,1655.00,485.00,255.00,144.00,173.00,113.00,72.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 17:39:00,,2514.00,1677.00,480.00,258.00,147.00,174.00,115.00,73.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 18:40:00,,2431.00,1606.00,466.00,242.00,144.00,161.00,112.00,74.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 19:40:00,,2384.00,1555.00,449.00,228.00,134.00,159.00,108.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 20:40:00,,2363.00,1520.00,439.00,221.00,132.00,153.00,105.00,71.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 21:40:00,,2349.00,1494.00,442.00,213.00,128.00,152.00,106.00,69.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 22:40:00,,2329.00,1473.00,435.00,210.00,130.00,148.00,101.00,67.00,APPROVED
TX: CORPUS CHRISTI,01/02/2017 23:41:00,,2335.00,1483.00,431.00,213.00,128.00,146.00,102.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 00:41:00,,2345.00,1487.00,429.00,210.00,130.00,147.00,106.00,68.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 03:41:00,,2392.00,1550.00,446.00,227.00,135.00,160.00,107.00,71.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 04:42:00,,2452.00,1632.00,469.00,248.00,139.00,166.00,112.00,71.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 06:42:00,,2543.00,1775.00,496.00,281.00,151.00,184.00,122.00,75.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 07:42:00,,2578.00,1832.00,524.00,301.00,159.00,195.00,127.00,77.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 08:42:00,,2607.00,1871.00,540.00,305.00,162.00,194.00,128.00,79.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 09:43:00,,2715.00,1997.00,564.00,333.00,171.00,213.00,139.00,84.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 10:43:00,,2771.00,2106.00,605.00,360.00,185.00,232.00,145.00,86.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 11:43:00,,2739.00,2087.00,597.00,358.00,177.00,226.00,148.00,88.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 14:44:00,,2815.00,2199.00,627.00,375.00,186.00,238.00,156.00,88.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 16:44:00,,2596.00,1872.00,550.00,293.00,159.00,192.00,130.00,83.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 17:44:00,,2505.00,1743.00,509.00,258.00,145.00,178.00,121.00,79.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 19:41:00,,2443.00,1640.00,478.00,232.00,138.00,159.00,116.00,77.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 20:47:00,,2308.00,1414.00,410.00,199.00,127.00,144.00,99.00,64.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 21:47:00,,2318.00,1447.00,416.00,208.00,127.00,146.00,100.00,67.00,APPROVED
TX: CORPUS CHRISTI,01/03/2017 22:47:00,,2344.00,1458.00,426.00,213.00,130.00,147.00,103.00,67.00,APPROVED
