LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: EL PASO,01/01/2019 00:44:00,,2522.00,1578.00,473.00,255.00,169.00,195.00,138.00,56.00,APPROVED
TX: EL PASO,01/01/2019 01:45:00,,2627.00,1637.00,481.00,257.00,169.00,199.00,136.00,54.00,APPROVED
TX: EL PASO,01/01/2019 02:45:00,,2717.00,1686.00,486.00,262.00,168.00,203.00,138.00,56.00,APPROVED
TX: EL PASO,01/01/2019 03:45:00,,2786.00,1740.00,500.00,271.00,172.00,209.00,134.00,56.00,APPROVED
TX: EL PASO,01/01/2019 04:45:00,,2801.00,1767.00,494.00,278.00,176.00,208.00,138.00,57.00,APPROVED
TX: EL PASO,01/01/2019 05:45:00,,2832.00,1760.00,507.00,278.00,175.00,213.00,137.00,58.00,APPROVED
TX: EL PASO,01/01/2019 06:46:00,,2857.00,1812.00,520.00,289.00,175.00,218.00,138.00,60.00,APPROVED
TX: EL PASO,01/01/2019 07:46:00,,2890.00,1869.00,530.00,302.00,182.00,226.00,143.00,59.00,APPROVED
TX: EL PASO,01/01/2019 08:46:00,,2944.00,1945.00,542.00,315.00,190.00,239.00,146.00,62.00,APPROVED
TX: EL PASO,01/01/2019 09:46:00,,3078.00,2116.00,587.00,357.00,202.00,263.00,154.00,67.00,APPROVED
TX: EL PASO,01/01/2019 10:46:00,,3157.00,2234.00,629.00,392.00,212.00,282.00,163.00,65.00,APPROVED
TX: EL PASO,01/01/2019 11:47:00,,3246.00,2346.00,671.00,411.00,223.00,300.00,173.00,71.00,APPROVED
TX: EL PASO,01/01/2019 12:47:00,,3298.00,2423.00,696.00,439.00,232.00,315.00,182.00,71.00,APPROVED
TX: EL PASO,01/01/2019 13:47:00,,3148.00,2232.00,653.00,394.00,216.00,294.00,170.00,69.00,APPROVED
