LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: HARLINGEN,01/01/2012 00:16:00,,2095.00,1190.00,319.00,162.00,93.00,113.00,67.00,31.00,APPROVED
TX: HARLINGEN,01/01/2012 01:17:00,,2145.00,1197.00,319.00,163.00,93.00,110.00,66.00,31.00,APPROVED
TX: HARLINGEN,01/01/2012 02:17:00,,2162.00,1201.00,315.00,155.00,93.00,110.00,64.00,32.00,APPROVED
TX: HARLINGEN,01/01/2012 03:17:00,,2173.00,1206.00,322.00,157.00,92.00,113.00,62.00,32.00,APPROVED
TX: HARLINGEN,01/01/2012 04:17:00,,2184.00,1209.00,328.00,162.00,94.00,108.00,62.00,29.00,APPROVED
TX: HARLINGEN,01/01/2012 05:17:00,,2215.00,1214.00,321.00,160.00,91.00,112.00,61.00,29.00,APPROVED
TX: HARLINGEN,01/01/2012 06:18:00,,2216.00,1219.00,321.00,160.00,94.00,114.00,61.00,30.00,APPROVED
TX: HARLINGEN,01/01/2012 07:18:00,,2213.00,1237.00,329.00,166.00,93.00,118.00,62.00,31.00,APPROVED
TX: HARLINGEN,01/01/2012 08:18:00,,2217.00,1261.00,328.00,169.00,96.00,122.00,65.00,32.00,APPROVED
TX: HARLINGEN,01/01/2012 09:18:00,,2240.00,1276.00,343.00,174.00,98.00,119.00,66.00,32.00,APPROVED
TX: HARLINGEN,01/01/2012 10:19:00,,2264.00,1319.00,344.00,185.00,99.00,126.00,70.00,33.00,APPROVED
TX: HARLINGEN,01/01/2012 11:19:00,,2261.00,1312.00,346.00,180.00,101.00,125.00,69.00,34.00,APPROVED
TX: HARLINGEN,01/01/2012 13:19:00,,2346.00,1439.00,376.00,215.00,109.00,141.00,79.00,35.00,APPROVED
TX: HARLINGEN,01/01/2012 14:20:00,,2296.00,1506.00,410.00,240.00,120.00,160.00,88.00,40.00,APPROVED
TX: HARLINGEN,01/01/2012 15:20:00,,2197.00,1481.00,429.00,246.00,123.00,164.00,92.00,41.00,APPROVED
TX: HARLINGEN,01/01/2012 16:20:00,,2079.00,1327.00,383.00,207.00,111.00,145.00,82.00,39.00,APPROVED
TX: HARLINGEN,01/01/2012 19:21:00,,2217.00,1288.00,364.00,171.00,101.00,129.00,62.00,37.00,APPROVED
TX: HARLINGEN,01/01/2012 23:22:00,,2055.00,1187.00,337.00,161.00,96.00,122.00,63.00,33.00,APPROVED
TX: HARLINGEN,01/02/2012 00:22:00,,2073.00,1192.00,342.00,160.00,96.00,123.00,59.00,33.00,APPROVED
TX: HARLINGEN,01/02/2012 01:22:00,,2089.00,1171.00,334.00,155.00,95.00,123.00,56.00,31.00,APPROVED
