LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: HOUSTON,01/01/2022 00:35:00,39.00,1398.00,781.00,228.00,109.00,76.00,83.00,52.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 01:35:00,38.00,1404.00,778.00,228.00,112.00,75.00,85.00,52.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 02:35:00,39.00,1414.00,789.00,232.00,109.00,73.00,88.00,53.00,22.00,APPROVED
TX: HOUSTON,01/01/2022 03:35:00,39.00,1408.00,795.00,234.00,108.00,73.00,87.00,53.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 04:36:00,38.00,1413.00,805.00,232.00,111.00,76.00,87.00,55.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 05:36:00,38.00,1400.00,797.00,234.00,111.00,75.00,90.00,53.00,20.00,APPROVED
TX: HOUSTON,01/01/2022 06:36:00,38.00,1410.00,799.00,229.00,114.00,77.00,89.00,53.00,22.00,APPROVED
TX: HOUSTON,01/01/2022 07:36:00,38.00,1405.00,780.00,229.00,108.00,73.00,88.00,51.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 08:37:00,38.00,1389.00,771.00,224.00,110.00,73.00,87.00,51.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 09:37:00,40.00,1377.00,761.00,226.00,106.00,72.00,84.00,53.00,20.00,APPROVED
TX: HOUSTON,01/01/2022 10:37:00,37.00,1372.00,758.00,219.00,108.00,74.00,84.00,50.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 11:37:00,38.00,1378.00,758.00,221.00,106.00,71.00,81.00,51.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 12:37:00,40.00,1378.00,766.00,224.00,105.00,72.00,83.00,50.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 13:38:00,38.00,1372.00,752.00,219.00,105.00,72.00,82.00,51.00,22.00,APPROVED
TX: HOUSTON,01/01/2022 14:38:00,39.00,1384.00,768.00,221.00,105.00,74.00,83.00,52.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 15:38:00,39.00,1384.00,773.00,224.00,107.00,73.00,84.00,51.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 16:38:00,38.00,1398.00,785.00,226.00,110.00,74.00,85.00,53.00,22.00,APPROVED
TX: HOUSTON,01/01/2022 17:38:00,37.00,1411.00,796.00,230.00,109.00,74.00,87.00,55.00,21.00,APPROVED
TX: HOUSTON,01/01/2022 18:39:00,37.00,1437.00,818.00,234.00,116.00,76.00,88.00,56.00,23.00,APPROVED
TX: HOUSTON,01/01/2022 19:39:00,40.00,1437.00,824.00,237.00,120.00,75.00,90.00,57.00,22.00,APPROVED
TX: HOUSTON,01/01/2022 20:39:00,39.00,1458.00,840.00,240.00,121.00,78.00,92.00,57.00,23.00,APPROVED
TX: HOUSTON,01/01/2022 21:39:00,39.00,1467.00,840.00,245.00,125.00,78.00,93.00,59.00,25.00,APPROVED
TX: HOUSTON,01/01/2022 22:39:00,39.00,1462.00,850.00,244.00,125.00,82.00,91.00,57.00,22.00,APPROVED
TX: HOUSTON,01/01/2022 23:40:00,40.00,1461.00,854.00,246.00,123.00,81.00,92.00,61.00,22.00,APPROVED
TX: HOUSTON,01/02/2022 00:40:00,38.00,1484.00,858.00,246.00,123.00,81.00,93.00,59.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 01:40:00,39.00,1479.00,860.00,249.00,124.00,81.00,94.00,59.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 02:40:00,38.00,1483.00,867.00,255.00,124.00,79.00,96.00,57.00,24.00,APPROVED
TX: HOUSTON,01/02/2022 03:41:00,39.00,1497.00,880.00,259.00,128.00,81.00,100.00,60.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 04:41:00,40.00,1502.00,880.00,261.00,127.00,82.00,101.00,58.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 05:41:00,39.00,1516.00,912.00,270.00,134.00,85.00,105.00,60.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 06:41:00,39.00,1557.00,950.00,282.00,137.00,86.00,109.00,61.00,24.00,APPROVED
TX: HOUSTON,01/02/2022 07:41:00,43.00,1744.00,1055.00,315.00,150.00,95.00,124.00,68.00,22.00,APPROVED
TX: HOUSTON,01/02/2022 08:42:00,43.00,1779.00,1114.00,336.00,164.00,99.00,134.00,73.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 09:42:00,43.00,1786.00,1142.00,341.00,173.00,101.00,140.00,76.00,25.00,APPROVED
TX: HOUSTON,01/02/2022 10:42:00,41.00,1764.00,1122.00,332.00,172.00,99.00,136.00,76.00,27.00,APPROVED
TX: HOUSTON,01/02/2022 11:42:00,43.00,1750.00,1111.00,332.00,167.00,101.00,130.00,75.00,27.00,APPROVED
TX: HOUSTON,01/02/2022 12:42:00,41.00,1712.00,1079.00,320.00,164.00,99.00,124.00,75.00,25.00,APPROVED
TX: HOUSTON,01/02/2022 13:43:00,41.00,1636.00,1021.00,301.00,154.00,92.00,119.00,70.00,24.00,APPROVED
TX: HOUSTON,01/02/2022 14:43:00,39.00,1602.00,975.00,282.00,148.00,90.00,105.00,68.00,26.00,APPROVED
TX: HOUSTON,01/02/2022 15:43:00,41.00,1596.00,962.00,278.00,140.00,88.00,108.00,66.00,24.00,APPROVED
TX: HOUSTON,01/02/2022 16:43:00,38.00,1585.00,958.00,281.00,141.00,86.00,107.00,63.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 17:44:00,42.00,1567.00,950.00,279.00,140.00,86.00,108.00,65.00,24.00,APPROVED
TX: HOUSTON,01/02/2022 18:44:00,40.00,1567.00,957.00,275.00,139.00,88.00,106.00,64.00,25.00,APPROVED
TX: HOUSTON,01/02/2022 19:44:00,40.00,1560.00,936.00,278.00,138.00,86.00,106.00,64.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 20:44:00,39.00,1539.00,930.00,271.00,133.00,87.00,104.00,63.00,22.00,APPROVED
TX: HOUSTON,01/02/2022 22:45:00,39.00,1519.00,896.00,261.00,130.00,85.00,102.00,59.00,23.00,APPROVED
TX: HOUSTON,01/02/2022 23:45:00,38.00,1503.00,875.00,259.00,126.00,83.00,99.00,60.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 00:45:00,42.00,1489.00,869.00,253.00,126.00,81.00,96.00,57.00,23.00,APPROVED
TX: HOUSTON,01/03/2022 01:45:00,37.00,1481.00,851.00,250.00,119.00,80.00,95.00,57.00,22.00,APPROVED
TX: HOUSTON,01/03/2022 02:45:00,38.00,1471.00,839.00,246.00,118.00,77.00,93.00,55.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 03:46:00,37.00,1462.00,839.00,244.00,118.00,77.00,91.00,56.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 04:46:00,37.00,1465.00,840.00,243.00,121.00,78.00,93.00,55.00,22.00,APPROVED
TX: HOUSTON,01/03/2022 05:46:00,38.00,1455.00,829.00,247.00,115.00,78.00,91.00,58.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 06:46:00,38.00,1461.00,846.00,246.00,118.00,78.00,91.00,55.00,23.00,APPROVED
TX: HOUSTON,01/03/2022 07:46:00,39.00,1470.00,842.00,243.00,118.00,78.00,90.00,56.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 08:47:00,37.00,1470.00,844.00,246.00,118.00,80.00,94.00,57.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 09:47:00,37.00,1474.00,844.00,243.00,118.00,80.00,90.00,56.00,22.00,APPROVED
TX: HOUSTON,01/03/2022 10:47:00,40.00,1474.00,845.00,246.00,120.00,78.00,93.00,57.00,21.00,APPROVED
TX: HOUSTON,01/03/2022 11:47:00,38.00,1478.00,850.00,243.00,120.00,78.00,93.00,56.00,22.00,APPROVED
TX: HOUSTON,01/03/2022 12:48:00,39.00,1492.00,849.00,246.00,122.00,79.00,94.00,57.00,23.00,APPROVED
