LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: LAREDO,01/01/2021 00:48:00,51.00,1832.00,967.00,270.00,129.00,79.00,97.00,70.00,21.00,APPROVED
TX: LAREDO,01/01/2021 01:48:00,48.00,1825.00,971.00,268.00,128.00,78.00,98.00,73.00,22.00,APPROVED
TX: LAREDO,01/01/2021 02:48:00,50.00,1821.00,964.00,270.00,128.00,79.00,99.00,72.00,22.00,APPROVED
TX: LAREDO,01/01/2021 03:48:00,53.00,1818.00,965.00,268.00,127.00,79.00,97.00,72.00,21.00,APPROVED
TX: LAREDO,01/01/2021 04:49:00,52.00,1820.00,969.00,268.00,126.00,77.00,97.00,69.00,22.00,APPROVED
TX: LAREDO,01/01/2021 05:49:00,51.00,1813.00,964.00,265.00,128.00,78.00,98.00,71.00,21.00,APPROVED
TX: LAREDO,01/01/2021 06:49:00,50.00,1819.00,966.00,266.00,126.00,77.00,98.00,69.00,21.00,APPROVED
TX: LAREDO,01/01/2021 07:49:00,51.00,1821.00,967.00,266.00,126.00,79.00,99.00,69.00,21.00,APPROVED
TX: LAREDO,01/01/2021 08:49:00,54.00,1844.00,974.00,267.00,129.00,80.00,98.00,72.00,21.00,APPROVED
TX: LAREDO,01/01/2021 09:50:00,54.00,1866.00,1008.00,271.00,133.00,79.00,100.00,74.00,21.00,APPROVED
TX: LAREDO,01/01/2021 10:50:00,55.00,1888.00,1023.00,276.00,132.00,82.00,100.00,75.00,22.00,APPROVED
TX: LAREDO,01/01/2021 11:50:00,53.00,1899.00,1017.00,278.00,134.00,81.00,101.00,73.00,21.00,APPROVED
TX: LAREDO,01/01/2021 12:50:00,56.00,1960.00,1054.00,284.00,137.00,84.00,103.00,74.00,21.00,APPROVED
TX: LAREDO,01/01/2021 13:51:00,58.00,1945.00,1044.00,290.00,137.00,83.00,103.00,74.00,22.00,APPROVED
TX: LAREDO,01/01/2021 14:51:00,57.00,1927.00,1043.00,283.00,139.00,82.00,104.00,75.00,21.00,APPROVED
TX: LAREDO,01/01/2021 15:51:00,54.00,1929.00,1036.00,282.00,137.00,86.00,105.00,74.00,21.00,APPROVED
TX: LAREDO,01/01/2021 16:51:00,54.00,1895.00,1016.00,280.00,136.00,81.00,100.00,77.00,22.00,APPROVED
TX: LAREDO,01/01/2021 17:51:00,52.00,1869.00,994.00,276.00,129.00,82.00,96.00,74.00,20.00,APPROVED
TX: LAREDO,01/01/2021 18:52:00,52.00,1861.00,989.00,271.00,131.00,82.00,95.00,75.00,21.00,APPROVED
TX: LAREDO,01/01/2021 19:52:00,53.00,1856.00,981.00,271.00,129.00,80.00,96.00,74.00,21.00,APPROVED
TX: LAREDO,01/01/2021 20:52:00,50.00,1856.00,994.00,271.00,130.00,81.00,97.00,76.00,21.00,APPROVED
TX: LAREDO,01/01/2021 21:52:00,49.00,1871.00,979.00,271.00,131.00,79.00,96.00,75.00,22.00,APPROVED
TX: LAREDO,01/01/2021 22:52:00,49.00,1833.00,984.00,273.00,133.00,81.00,95.00,75.00,20.00,APPROVED
TX: LAREDO,01/01/2021 23:53:00,51.00,1823.00,971.00,270.00,125.00,79.00,93.00,74.00,21.00,APPROVED
TX: LAREDO,01/02/2021 00:53:00,52.00,1834.00,967.00,269.00,127.00,80.00,93.00,72.00,20.00,APPROVED
TX: LAREDO,01/02/2021 01:53:00,48.00,1833.00,973.00,274.00,129.00,80.00,95.00,76.00,21.00,APPROVED
TX: LAREDO,01/02/2021 02:53:00,53.00,1841.00,978.00,270.00,127.00,79.00,96.00,73.00,20.00,APPROVED
TX: LAREDO,01/02/2021 03:54:00,51.00,1854.00,987.00,270.00,126.00,80.00,97.00,72.00,19.00,APPROVED
TX: LAREDO,01/02/2021 04:54:00,55.00,1891.00,1010.00,279.00,133.00,81.00,100.00,76.00,21.00,APPROVED
TX: LAREDO,01/02/2021 05:54:00,56.00,1932.00,1034.00,283.00,137.00,83.00,101.00,79.00,22.00,APPROVED
TX: LAREDO,01/02/2021 06:54:00,56.00,1934.00,1043.00,283.00,140.00,84.00,101.00,76.00,22.00,APPROVED
TX: LAREDO,01/02/2021 07:54:00,56.00,1948.00,1057.00,286.00,141.00,85.00,103.00,77.00,22.00,APPROVED
TX: LAREDO,01/02/2021 08:55:00,57.00,1955.00,1058.00,289.00,140.00,86.00,102.00,76.00,21.00,APPROVED
TX: LAREDO,01/02/2021 09:55:00,54.00,1937.00,1042.00,286.00,139.00,82.00,104.00,74.00,22.00,APPROVED
TX: LAREDO,01/02/2021 10:55:00,58.00,1940.00,1048.00,287.00,138.00,86.00,102.00,78.00,21.00,APPROVED
TX: LAREDO,01/02/2021 11:55:00,58.00,1984.00,1066.00,290.00,142.00,86.00,105.00,78.00,21.00,APPROVED
TX: LAREDO,01/02/2021 12:55:00,58.00,1980.00,1076.00,293.00,143.00,87.00,105.00,76.00,22.00,APPROVED
TX: LAREDO,01/02/2021 13:56:00,60.00,2000.00,1084.00,295.00,143.00,89.00,108.00,78.00,23.00,APPROVED
TX: LAREDO,01/02/2021 14:56:00,58.00,2022.00,1087.00,297.00,143.00,86.00,109.00,77.00,22.00,APPROVED
TX: LAREDO,01/02/2021 15:56:00,58.00,2030.00,1093.00,295.00,144.00,87.00,108.00,79.00,22.00,APPROVED
TX: LAREDO,01/02/2021 16:56:00,56.00,1993.00,1080.00,293.00,143.00,86.00,107.00,79.00,22.00,APPROVED
TX: LAREDO,01/02/2021 17:57:00,54.00,1939.00,1043.00,288.00,141.00,83.00,100.00,76.00,22.00,APPROVED
TX: LAREDO,01/02/2021 18:57:00,57.00,1901.00,1016.00,281.00,137.00,83.00,97.00,77.00,22.00,APPROVED
TX: LAREDO,01/02/2021 19:57:00,52.00,1841.00,984.00,267.00,134.00,78.00,95.00,74.00,21.00,APPROVED
TX: LAREDO,01/02/2021 20:57:00,50.00,1847.00,986.00,267.00,131.00,80.00,96.00,75.00,23.00,APPROVED
TX: LAREDO,01/02/2021 21:57:00,49.00,1855.00,993.00,270.00,131.00,80.00,92.00,75.00,20.00,APPROVED
TX: LAREDO,01/02/2021 22:58:00,54.00,1852.00,997.00,277.00,131.00,80.00,95.00,77.00,22.00,APPROVED
TX: LAREDO,01/02/2021 23:58:00,50.00,1858.00,1002.00,274.00,132.00,83.00,94.00,76.00,22.00,APPROVED
TX: LAREDO,01/03/2021 00:58:00,50.00,1860.00,987.00,277.00,128.00,78.00,96.00,75.00,21.00,APPROVED
TX: LAREDO,01/03/2021 01:58:00,50.00,1871.00,996.00,274.00,130.00,83.00,97.00,75.00,21.00,APPROVED
TX: LAREDO,01/03/2021 02:59:00,55.00,1896.00,1030.00,279.00,133.00,84.00,101.00,75.00,23.00,APPROVED
TX: LAREDO,01/03/2021 03:59:00,57.00,1936.00,1061.00,291.00,142.00,84.00,103.00,78.00,21.00,APPROVED
TX: LAREDO,01/03/2021 04:59:00,60.00,1949.00,1063.00,289.00,143.00,87.00,105.00,76.00,22.00,APPROVED
TX: LAREDO,01/03/2021 05:59:00,58.00,1940.00,1059.00,287.00,142.00,86.00,103.00,79.00,22.00,APPROVED
TX: LAREDO,01/03/2021 06:59:00,57.00,1945.00,1059.00,288.00,142.00,83.00,103.00,77.00,22.00,APPROVED
TX: LAREDO,01/03/2021 08:00:00,59.00,1946.00,1061.00,285.00,143.00,84.00,102.00,77.00,23.00,APPROVED
TX: LAREDO,01/03/2021 09:00:00,58.00,1901.00,1031.00,280.00,137.00,83.00,103.00,73.00,23.00,APPROVED
TX: LAREDO,01/03/2021 10:00:00,54.00,1903.00,1028.00,277.00,137.00,80.00,98.00,76.00,20.00,APPROVED
TX: LAREDO,01/03/2021 11:00:00,54.00,1916.00,1029.00,286.00,140.00,84.00,101.00,77.00,22.00,APPROVED
TX: LAREDO,01/03/2021 12:00:00,56.00,1929.00,1039.00,282.00,139.00,86.00,100.00,76.00,22.00,APPROVED
TX: LAREDO,01/03/2021 13:01:00,56.00,1954.00,1045.00,281.00,139.00,84.00,102.00,76.00,23.00,APPROVED
TX: LAREDO,01/03/2021 14:01:00,55.00,1918.00,1047.00,288.00,140.00,86.00,103.00,76.00,22.00,APPROVED
TX: LAREDO,01/03/2021 15:01:00,56.00,1952.00,1053.00,286.00,140.00,87.00,104.00,75.00,22.00,APPROVED
TX: LAREDO,01/03/2021 16:01:00,57.00,1921.00,1023.00,280.00,135.00,82.00,99.00,75.00,21.00,APPROVED
TX: LAREDO,01/03/2021 17:01:00,54.00,1918.00,1026.00,286.00,138.00,85.00,99.00,78.00,21.00,APPROVED
TX: LAREDO,01/03/2021 18:02:00,50.00,1938.00,1037.00,287.00,137.00,83.00,100.00,80.00,22.00,APPROVED
TX: LAREDO,01/03/2021 19:02:00,51.00,1930.00,1041.00,289.00,141.00,85.00,99.00,79.00,21.00,APPROVED
TX: LAREDO,01/03/2021 20:02:00,52.00,1929.00,1038.00,286.00,138.00,84.00,99.00,79.00,22.00,APPROVED
TX: LAREDO,01/03/2021 21:02:00,53.00,1911.00,1044.00,282.00,137.00,83.00,99.00,80.00,22.00,APPROVED
