LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
UT: SALT LAKE CITY,01/01/2021 00:58:00,80.00,1521.00,920.00,248.00,134.00,81.00,94.00,62.00,30.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 01:58:00,75.00,1528.00,925.00,247.00,140.00,79.00,94.00,61.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 02:58:00,75.00,1528.00,923.00,247.00,137.00,80.00,93.00,60.00,30.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 03:58:00,74.00,1522.00,914.00,249.00,134.00,81.00,93.00,59.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 04:59:00,79.00,1528.00,916.00,245.00,137.00,80.00,96.00,61.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 05:59:00,75.00,1519.00,911.00,245.00,138.00,78.00,91.00,60.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 06:59:00,76.00,1520.00,915.00,244.00,138.00,79.00,92.00,61.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 07:59:00,75.00,1524.00,919.00,246.00,137.00,80.00,95.00,58.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 09:00:00,76.00,1522.00,914.00,246.00,140.00,82.00,94.00,60.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 10:00:00,74.00,1537.00,941.00,252.00,140.00,81.00,96.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 11:00:00,77.00,1598.00,980.00,263.00,150.00,86.00,102.00,67.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 12:00:00,75.00,1621.00,1001.00,271.00,156.00,86.00,107.00,67.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 13:00:00,73.00,1599.00,996.00,266.00,156.00,87.00,105.00,64.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 14:01:00,78.00,1598.00,1004.00,273.00,157.00,86.00,106.00,66.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 15:01:00,78.00,1586.00,987.00,269.00,155.00,86.00,103.00,65.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 16:01:00,73.00,1582.00,993.00,271.00,157.00,87.00,104.00,65.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 17:01:00,76.00,1584.00,987.00,269.00,154.00,89.00,101.00,64.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 18:01:00,74.00,1553.00,939.00,259.00,145.00,82.00,97.00,62.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 19:02:00,80.00,1549.00,936.00,255.00,143.00,82.00,95.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 20:02:00,81.00,1559.00,941.00,253.00,141.00,82.00,96.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 21:02:00,81.00,1540.00,929.00,249.00,138.00,81.00,95.00,59.00,30.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 22:02:00,77.00,1493.00,897.00,243.00,131.00,78.00,93.00,57.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2021 23:03:00,79.00,1494.00,898.00,242.00,131.00,78.00,91.00,58.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 00:03:00,79.00,1496.00,901.00,242.00,133.00,77.00,91.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 01:03:00,79.00,1497.00,903.00,241.00,133.00,78.00,93.00,59.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 02:03:00,76.00,1498.00,894.00,241.00,131.00,78.00,90.00,59.00,28.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 03:03:00,80.00,1479.00,877.00,237.00,129.00,77.00,87.00,59.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 04:04:00,77.00,1492.00,893.00,237.00,128.00,75.00,89.00,58.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 05:04:00,74.00,1505.00,897.00,241.00,129.00,77.00,91.00,59.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 06:04:00,75.00,1522.00,911.00,246.00,134.00,77.00,93.00,59.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 07:04:00,78.00,1547.00,928.00,248.00,136.00,79.00,95.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 08:05:00,79.00,1549.00,936.00,250.00,138.00,80.00,96.00,61.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 09:05:00,79.00,1556.00,949.00,250.00,141.00,80.00,95.00,62.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 10:05:00,76.00,1545.00,946.00,249.00,141.00,81.00,97.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 11:05:00,77.00,1538.00,944.00,254.00,144.00,81.00,97.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 12:05:00,75.00,1556.00,942.00,251.00,143.00,81.00,95.00,61.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 13:06:00,78.00,1561.00,950.00,254.00,141.00,81.00,98.00,61.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 14:06:00,78.00,1569.00,962.00,255.00,146.00,84.00,99.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 15:06:00,79.00,1570.00,958.00,256.00,142.00,80.00,98.00,62.00,32.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 16:06:00,78.00,1551.00,946.00,256.00,142.00,83.00,97.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 17:06:00,77.00,1555.00,949.00,255.00,143.00,82.00,98.00,62.00,31.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 18:07:00,83.00,1567.00,963.00,257.00,145.00,81.00,98.00,62.00,32.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 19:07:00,81.00,1580.00,959.00,257.00,145.00,82.00,98.00,61.00,33.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 20:07:00,83.00,1572.00,954.00,258.00,144.00,83.00,99.00,65.00,32.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 21:07:00,88.00,1564.00,945.00,255.00,142.00,82.00,96.00,62.00,30.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 22:08:00,88.00,1551.00,938.00,252.00,141.00,82.00,94.00,61.00,32.00,APPROVED
UT: SALT LAKE CITY,01/02/2021 23:08:00,86.00,1550.00,939.00,248.00,139.00,82.00,92.00,62.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 00:08:00,88.00,1537.00,940.00,245.00,139.00,82.00,92.00,60.00,30.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 01:08:00,82.00,1556.00,938.00,249.00,140.00,82.00,97.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 02:08:00,81.00,1567.00,945.00,252.00,145.00,81.00,97.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 03:09:00,80.00,1566.00,953.00,258.00,141.00,83.00,96.00,63.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 04:09:00,77.00,1591.00,968.00,259.00,145.00,84.00,100.00,65.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 05:09:00,81.00,1591.00,978.00,256.00,145.00,82.00,96.00,64.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 06:09:00,82.00,1605.00,979.00,262.00,148.00,82.00,100.00,62.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 07:09:00,79.00,1607.00,986.00,264.00,150.00,85.00,101.00,64.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 08:10:00,79.00,1613.00,988.00,267.00,149.00,82.00,102.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 09:10:00,82.00,1636.00,1003.00,269.00,152.00,86.00,102.00,64.00,32.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 10:10:00,81.00,1666.00,1024.00,271.00,157.00,86.00,103.00,67.00,32.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 11:10:00,81.00,1656.00,1022.00,272.00,159.00,87.00,106.00,65.00,32.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 12:11:00,83.00,1658.00,1035.00,274.00,161.00,90.00,108.00,67.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 13:11:00,83.00,1661.00,1038.00,281.00,162.00,88.00,108.00,67.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 14:11:00,81.00,1684.00,1049.00,285.00,160.00,91.00,109.00,68.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 15:11:00,84.00,1653.00,1032.00,277.00,157.00,88.00,107.00,64.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 16:11:00,83.00,1690.00,1054.00,280.00,162.00,88.00,108.00,66.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 17:12:00,80.00,1721.00,1078.00,286.00,169.00,92.00,112.00,72.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 18:12:00,90.00,1885.00,1226.00,325.00,200.00,102.00,128.00,78.00,35.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 19:12:00,85.00,1831.00,1174.00,312.00,189.00,98.00,126.00,74.00,36.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 20:12:00,86.00,1741.00,1089.00,295.00,174.00,94.00,115.00,72.00,33.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 21:13:00,78.00,1658.00,1030.00,272.00,160.00,88.00,105.00,66.00,32.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 22:13:00,81.00,1634.00,1004.00,270.00,155.00,87.00,104.00,66.00,31.00,APPROVED
UT: SALT LAKE CITY,01/03/2021 23:13:00,81.00,1585.00,970.00,261.00,149.00,82.00,99.00,60.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 00:13:00,84.00,1547.00,941.00,252.00,143.00,80.00,95.00,62.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 01:13:00,80.00,1550.00,943.00,252.00,140.00,79.00,97.00,61.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 02:14:00,82.00,1550.00,934.00,253.00,141.00,79.00,94.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 03:14:00,80.00,1529.00,930.00,250.00,139.00,81.00,93.00,61.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 04:14:00,79.00,1530.00,921.00,251.00,136.00,79.00,92.00,62.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 05:14:00,77.00,1538.00,923.00,248.00,138.00,79.00,95.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 06:14:00,79.00,1566.00,945.00,252.00,143.00,81.00,94.00,60.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 07:15:00,74.00,1589.00,969.00,257.00,146.00,82.00,98.00,64.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 08:15:00,78.00,1595.00,978.00,258.00,148.00,83.00,101.00,62.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 09:15:00,81.00,1603.00,987.00,261.00,148.00,83.00,99.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 10:15:00,80.00,1614.00,990.00,267.00,148.00,85.00,101.00,65.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 11:16:00,78.00,1619.00,1001.00,268.00,153.00,86.00,104.00,64.00,33.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 12:16:00,78.00,1621.00,1007.00,265.00,149.00,84.00,105.00,66.00,33.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 13:16:00,75.00,1598.00,982.00,263.00,150.00,84.00,101.00,66.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 14:16:00,79.00,1618.00,986.00,266.00,149.00,85.00,101.00,64.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 15:16:00,78.00,1597.00,980.00,265.00,150.00,85.00,103.00,64.00,33.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 17:17:00,80.00,1620.00,996.00,266.00,154.00,84.00,104.00,64.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 18:17:00,84.00,1609.00,985.00,268.00,153.00,84.00,99.00,62.00,33.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 19:17:00,91.00,1572.00,963.00,257.00,147.00,83.00,99.00,62.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 20:17:00,88.00,1584.00,973.00,258.00,145.00,83.00,99.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 21:18:00,89.00,1597.00,968.00,259.00,146.00,83.00,101.00,62.00,31.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 22:18:00,92.00,1569.00,958.00,256.00,142.00,83.00,99.00,61.00,32.00,APPROVED
UT: SALT LAKE CITY,01/04/2021 23:18:00,89.00,1576.00,967.00,257.00,149.00,83.00,99.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 00:18:00,87.00,1581.00,970.00,262.00,145.00,85.00,98.00,65.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 01:19:00,82.00,1599.00,989.00,264.00,149.00,82.00,101.00,65.00,33.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 02:19:00,85.00,1624.00,1002.00,262.00,152.00,86.00,102.00,65.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 03:19:00,80.00,1638.00,1010.00,269.00,153.00,86.00,102.00,66.00,32.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 04:19:00,79.00,1628.00,1003.00,267.00,152.00,84.00,106.00,65.00,33.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 05:19:00,82.00,1635.00,1022.00,270.00,155.00,85.00,105.00,66.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 06:20:00,79.00,1610.00,1000.00,266.00,155.00,86.00,101.00,66.00,32.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 07:20:00,83.00,1531.00,937.00,252.00,148.00,82.00,96.00,60.00,32.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 08:20:00,84.00,1540.00,934.00,251.00,139.00,80.00,96.00,60.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 09:20:00,83.00,1611.00,990.00,263.00,148.00,85.00,100.00,63.00,32.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 10:20:00,83.00,1635.00,1012.00,270.00,152.00,87.00,103.00,64.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 11:21:00,87.00,1779.00,1145.00,310.00,183.00,97.00,122.00,71.00,35.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 12:21:00,93.00,1876.00,1226.00,330.00,205.00,104.00,132.00,76.00,36.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 13:21:00,88.00,1682.00,1062.00,288.00,167.00,92.00,115.00,68.00,32.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 14:21:00,79.00,1553.00,964.00,259.00,147.00,83.00,99.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 15:22:00,82.00,1503.00,912.00,246.00,136.00,81.00,93.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 16:51:00,76.00,1400.00,820.00,222.00,115.00,72.00,80.00,53.00,29.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 17:51:00,73.00,1397.00,820.00,224.00,117.00,72.00,83.00,55.00,29.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 18:51:00,77.00,1405.00,821.00,229.00,120.00,73.00,84.00,53.00,30.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 19:52:00,86.00,1406.00,823.00,224.00,117.00,73.00,84.00,55.00,31.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 20:52:00,81.00,1399.00,818.00,226.00,118.00,72.00,82.00,54.00,29.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 21:52:00,81.00,1397.00,814.00,224.00,118.00,72.00,84.00,54.00,30.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 22:52:00,78.00,1396.00,821.00,219.00,119.00,71.00,81.00,55.00,29.00,APPROVED
UT: SALT LAKE CITY,01/05/2021 23:53:00,80.00,1388.00,808.00,217.00,117.00,71.00,80.00,54.00,28.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 00:53:00,78.00,1382.00,806.00,220.00,118.00,71.00,82.00,54.00,27.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 01:53:00,79.00,1390.00,808.00,217.00,113.00,70.00,79.00,53.00,29.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 02:53:00,76.00,1408.00,818.00,222.00,117.00,70.00,84.00,56.00,28.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 03:53:00,74.00,1432.00,845.00,226.00,121.00,74.00,85.00,55.00,29.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 04:54:00,75.00,1439.00,852.00,231.00,122.00,74.00,85.00,56.00,32.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 05:54:00,77.00,1459.00,869.00,234.00,128.00,76.00,88.00,56.00,31.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 06:54:00,79.00,1463.00,869.00,236.00,128.00,73.00,89.00,58.00,29.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 07:54:00,78.00,1469.00,871.00,235.00,132.00,77.00,90.00,57.00,30.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 08:54:00,75.00,1466.00,873.00,235.00,130.00,75.00,89.00,57.00,31.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 09:55:00,80.00,1465.00,875.00,237.00,130.00,77.00,91.00,57.00,29.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 10:55:00,81.00,1496.00,900.00,241.00,134.00,75.00,93.00,62.00,30.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 11:55:00,76.00,1543.00,941.00,251.00,146.00,80.00,97.00,63.00,32.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 12:55:00,82.00,1517.00,924.00,252.00,143.00,81.00,94.00,61.00,30.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 13:56:00,77.00,1533.00,935.00,249.00,145.00,81.00,93.00,60.00,30.00,APPROVED
UT: SALT LAKE CITY,01/06/2021 14:56:00,79.00,1538.00,938.00,254.00,141.00,81.00,97.00,60.00,31.00,APPROVED
