LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
UT: ST. GEORGE,01/01/2017 00:12:00,,2107.00,1328.00,359.00,203.00,113.00,138.00,87.00,33.00,APPROVED
UT: ST. GEORGE,01/01/2017 01:12:00,,2125.00,1337.00,363.00,200.00,115.00,137.00,86.00,33.00,APPROVED
UT: ST. GEORGE,01/01/2017 02:13:00,,2136.00,1324.00,360.00,194.00,116.00,138.00,82.00,33.00,APPROVED
UT: ST. GEORGE,01/01/2017 03:13:00,,2135.00,1343.00,361.00,200.00,116.00,140.00,85.00,34.00,APPROVED
UT: ST. GEORGE,01/01/2017 04:13:00,,2172.00,1360.00,369.00,204.00,114.00,143.00,86.00,33.00,APPROVED
UT: ST. GEORGE,01/01/2017 05:13:00,,2203.00,1394.00,385.00,210.00,121.00,147.00,91.00,33.00,APPROVED
UT: ST. GEORGE,01/01/2017 06:13:00,,2245.00,1430.00,390.00,214.00,121.00,151.00,89.00,35.00,APPROVED
UT: ST. GEORGE,01/01/2017 07:14:00,,2201.00,1399.00,383.00,206.00,120.00,148.00,87.00,33.00,APPROVED
UT: ST. GEORGE,01/01/2017 08:14:00,,2233.00,1421.00,391.00,212.00,124.00,152.00,88.00,34.00,APPROVED
UT: ST. GEORGE,01/01/2017 09:14:00,,2277.00,1498.00,413.00,225.00,127.00,163.00,95.00,34.00,APPROVED
UT: ST. GEORGE,01/01/2017 10:14:00,,2259.00,1483.00,411.00,224.00,128.00,164.00,91.00,35.00,APPROVED
UT: ST. GEORGE,01/01/2017 11:15:00,,2295.00,1502.00,418.00,231.00,128.00,164.00,94.00,35.00,APPROVED
UT: ST. GEORGE,01/01/2017 12:15:00,,2328.00,1554.00,427.00,243.00,133.00,174.00,95.00,36.00,APPROVED
UT: ST. GEORGE,01/01/2017 13:15:00,,2369.00,1562.00,431.00,244.00,132.00,172.00,99.00,38.00,APPROVED
UT: ST. GEORGE,01/01/2017 14:15:00,,2389.00,1609.00,446.00,248.00,135.00,176.00,100.00,36.00,APPROVED
UT: ST. GEORGE,01/01/2017 15:15:00,,2399.00,1607.00,450.00,250.00,137.00,181.00,99.00,37.00,APPROVED
UT: ST. GEORGE,01/01/2017 16:16:00,,2362.00,1580.00,445.00,248.00,136.00,178.00,101.00,36.00,APPROVED
UT: ST. GEORGE,01/01/2017 17:16:00,,2380.00,1591.00,437.00,247.00,133.00,178.00,102.00,37.00,APPROVED
UT: ST. GEORGE,01/01/2017 18:16:00,,2367.00,1586.00,431.00,259.00,134.00,173.00,104.00,39.00,APPROVED
UT: ST. GEORGE,01/01/2017 19:16:00,,2291.00,1549.00,415.00,254.00,131.00,165.00,102.00,39.00,APPROVED
UT: ST. GEORGE,01/01/2017 20:16:00,,2225.00,1475.00,391.00,242.00,130.00,160.00,99.00,38.00,APPROVED
UT: ST. GEORGE,01/01/2017 21:17:00,,2175.00,1425.00,376.00,232.00,123.00,150.00,94.00,38.00,APPROVED
UT: ST. GEORGE,01/01/2017 22:17:00,,2136.00,1391.00,368.00,220.00,120.00,146.00,92.00,36.00,APPROVED
UT: ST. GEORGE,01/01/2017 23:17:00,,2113.00,1368.00,359.00,213.00,116.00,142.00,90.00,35.00,APPROVED
UT: ST. GEORGE,01/02/2017 00:17:00,,2036.00,1284.00,347.00,196.00,112.00,131.00,83.00,33.00,APPROVED
UT: ST. GEORGE,01/02/2017 01:17:00,,2011.00,1247.00,336.00,186.00,108.00,129.00,86.00,33.00,APPROVED
UT: ST. GEORGE,01/02/2017 02:18:00,,2030.00,1239.00,337.00,184.00,108.00,126.00,81.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 03:18:00,,2065.00,1274.00,346.00,188.00,111.00,130.00,83.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 04:18:00,,2105.00,1309.00,351.00,193.00,114.00,137.00,83.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 05:18:00,,2070.00,1285.00,358.00,192.00,112.00,133.00,83.00,33.00,APPROVED
UT: ST. GEORGE,01/02/2017 06:18:00,,2060.00,1268.00,346.00,188.00,111.00,137.00,82.00,33.00,APPROVED
UT: ST. GEORGE,01/02/2017 07:19:00,,2078.00,1295.00,352.00,189.00,112.00,138.00,83.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 08:19:00,,2056.00,1280.00,353.00,187.00,113.00,137.00,81.00,30.00,APPROVED
UT: ST. GEORGE,01/02/2017 09:19:00,,2059.00,1270.00,351.00,189.00,113.00,133.00,83.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 10:19:00,,2030.00,1257.00,342.00,185.00,113.00,136.00,81.00,31.00,APPROVED
UT: ST. GEORGE,01/02/2017 11:19:00,,1988.00,1218.00,333.00,177.00,108.00,127.00,79.00,31.00,APPROVED
UT: ST. GEORGE,01/02/2017 12:20:00,,2013.00,1224.00,335.00,175.00,107.00,127.00,77.00,31.00,APPROVED
UT: ST. GEORGE,01/02/2017 13:20:00,,2034.00,1255.00,341.00,177.00,108.00,131.00,79.00,33.00,APPROVED
UT: ST. GEORGE,01/02/2017 14:20:00,,2057.00,1287.00,354.00,185.00,113.00,138.00,81.00,34.00,APPROVED
UT: ST. GEORGE,01/02/2017 15:20:00,,2027.00,1242.00,345.00,180.00,108.00,134.00,80.00,31.00,APPROVED
UT: ST. GEORGE,01/02/2017 16:20:00,,2069.00,1275.00,351.00,180.00,110.00,135.00,78.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 17:21:00,,2070.00,1284.00,358.00,188.00,112.00,139.00,81.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 18:21:00,,2047.00,1257.00,348.00,183.00,108.00,133.00,80.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 19:21:00,,2016.00,1243.00,341.00,178.00,106.00,131.00,84.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 20:21:00,,1984.00,1213.00,336.00,179.00,109.00,127.00,82.00,32.00,APPROVED
UT: ST. GEORGE,01/02/2017 21:21:00,,1969.00,1195.00,325.00,173.00,104.00,122.00,79.00,31.00,APPROVED
UT: ST. GEORGE,01/02/2017 22:22:00,,1957.00,1190.00,320.00,173.00,102.00,121.00,78.00,33.00,APPROVED
UT: ST. GEORGE,01/02/2017 23:22:00,,1948.00,1163.00,322.00,170.00,102.00,118.00,77.00,30.00,APPROVED
UT: ST. GEORGE,01/03/2017 00:22:00,,1950.00,1167.00,321.00,166.00,102.00,120.00,77.00,30.00,APPROVED
UT: ST. GEORGE,01/03/2017 01:22:00,,1940.00,1154.00,316.00,162.00,101.00,116.00,77.00,31.00,APPROVED
UT: ST. GEORGE,01/03/2017 02:22:00,,1955.00,1152.00,317.00,162.00,104.00,120.00,76.00,30.00,APPROVED
UT: ST. GEORGE,01/03/2017 03:23:00,,1975.00,1172.00,322.00,163.00,103.00,121.00,75.00,29.00,APPROVED
UT: ST. GEORGE,01/03/2017 04:23:00,,1965.00,1184.00,322.00,164.00,103.00,120.00,74.00,29.00,APPROVED
UT: ST. GEORGE,01/03/2017 05:23:00,,1980.00,1189.00,331.00,166.00,104.00,124.00,74.00,30.00,APPROVED
UT: ST. GEORGE,01/03/2017 06:23:00,,2011.00,1225.00,342.00,173.00,105.00,127.00,76.00,32.00,APPROVED
UT: ST. GEORGE,01/03/2017 07:23:00,,2003.00,1216.00,340.00,172.00,106.00,128.00,74.00,31.00,APPROVED
UT: ST. GEORGE,01/03/2017 08:24:00,,2045.00,1250.00,346.00,179.00,108.00,135.00,76.00,31.00,APPROVED
UT: ST. GEORGE,01/03/2017 09:24:00,,2084.00,1300.00,368.00,184.00,112.00,144.00,76.00,34.00,APPROVED
UT: ST. GEORGE,01/03/2017 10:24:00,,2110.00,1340.00,379.00,194.00,116.00,149.00,81.00,32.00,APPROVED
