LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
VA: RICHMOND,01/01/2013 00:15:00,,1913.00,1166.00,327.00,155.00,95.00,120.00,67.00,38.00,APPROVED
VA: RICHMOND,01/01/2013 01:15:00,,1912.00,1173.00,328.00,160.00,94.00,118.00,69.00,39.00,APPROVED
VA: RICHMOND,01/01/2013 02:15:00,,1904.00,1174.00,325.00,156.00,98.00,115.00,67.00,37.00,APPROVED
VA: RICHMOND,01/01/2013 03:15:00,,1904.00,1175.00,331.00,161.00,97.00,117.00,71.00,39.00,APPROVED
VA: RICHMOND,01/01/2013 04:16:00,,1904.00,1177.00,332.00,160.00,97.00,117.00,72.00,38.00,APPROVED
VA: RICHMOND,01/01/2013 05:16:00,,1905.00,1182.00,331.00,158.00,99.00,121.00,71.00,38.00,APPROVED
VA: RICHMOND,01/01/2013 06:16:00,,1915.00,1185.00,333.00,158.00,97.00,118.00,70.00,39.00,APPROVED
VA: RICHMOND,01/01/2013 07:16:00,,1934.00,1192.00,337.00,161.00,99.00,120.00,73.00,39.00,APPROVED
VA: RICHMOND,01/01/2013 08:16:00,,1931.00,1205.00,336.00,165.00,100.00,123.00,71.00,38.00,APPROVED
VA: RICHMOND,01/01/2013 09:17:00,,1942.00,1215.00,341.00,164.00,102.00,123.00,70.00,41.00,APPROVED
VA: RICHMOND,01/01/2013 10:17:00,,1969.00,1224.00,348.00,168.00,101.00,124.00,72.00,39.00,APPROVED
VA: RICHMOND,01/01/2013 11:17:00,,2010.00,1280.00,360.00,173.00,105.00,133.00,73.00,41.00,APPROVED
VA: RICHMOND,01/01/2013 12:17:00,,2135.00,1372.00,391.00,188.00,115.00,144.00,80.00,43.00,APPROVED
VA: RICHMOND,01/01/2013 13:17:00,,2158.00,1468.00,412.00,221.00,122.00,151.00,90.00,49.00,APPROVED
VA: RICHMOND,01/01/2013 14:18:00,,2171.00,1560.00,435.00,252.00,133.00,158.00,99.00,56.00,APPROVED
