LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
VA: VIRGINIA BEACH,01/01/2014 00:59:00,,2771.00,1499.00,400.00,196.00,120.00,139.00,80.00,34.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 01:59:00,,2809.00,1521.00,399.00,198.00,119.00,136.00,81.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 02:59:00,,2852.00,1550.00,401.00,196.00,123.00,140.00,79.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 03:59:00,,2854.00,1558.00,404.00,197.00,125.00,140.00,82.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 05:00:00,,2861.00,1559.00,408.00,199.00,122.00,143.00,82.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 06:00:00,,2857.00,1562.00,407.00,200.00,121.00,138.00,84.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 07:00:00,,2870.00,1563.00,409.00,206.00,124.00,137.00,85.00,37.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 08:00:00,,2869.00,1587.00,411.00,208.00,126.00,140.00,86.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 09:00:00,,2884.00,1603.00,416.00,211.00,126.00,145.00,84.00,38.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 10:01:00,,2895.00,1608.00,416.00,214.00,127.00,145.00,87.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 11:01:00,,2917.00,1620.00,424.00,215.00,126.00,148.00,87.00,37.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 12:01:00,,2902.00,1625.00,427.00,217.00,125.00,148.00,87.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 13:01:00,,2881.00,1602.00,422.00,213.00,129.00,143.00,85.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 14:01:00,,2852.00,1599.00,413.00,213.00,125.00,143.00,84.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 15:02:00,,2810.00,1557.00,411.00,204.00,123.00,144.00,81.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 16:02:00,,2698.00,1484.00,401.00,199.00,121.00,139.00,80.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 17:02:00,,2602.00,1415.00,397.00,190.00,120.00,140.00,77.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 18:02:00,,2556.00,1397.00,393.00,191.00,122.00,143.00,73.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 19:02:00,,2529.00,1392.00,395.00,185.00,124.00,143.00,75.00,37.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 20:03:00,,2507.00,1372.00,388.00,189.00,121.00,141.00,73.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 21:03:00,,2540.00,1381.00,391.00,185.00,121.00,141.00,75.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 22:03:00,,2605.00,1411.00,387.00,184.00,120.00,135.00,74.00,37.00,APPROVED
VA: VIRGINIA BEACH,01/01/2014 23:03:00,,2689.00,1449.00,394.00,190.00,121.00,139.00,77.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 00:03:00,,2753.00,1496.00,402.00,190.00,120.00,140.00,78.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 01:04:00,,2787.00,1510.00,402.00,202.00,120.00,139.00,81.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 02:04:00,,2785.00,1518.00,405.00,195.00,122.00,139.00,80.00,37.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 03:04:00,,2767.00,1518.00,406.00,198.00,123.00,141.00,80.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 04:04:00,,2740.00,1500.00,406.00,197.00,121.00,140.00,78.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 05:04:00,,2737.00,1495.00,401.00,196.00,120.00,138.00,78.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 06:05:00,,2728.00,1500.00,405.00,199.00,124.00,143.00,79.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 07:05:00,,2702.00,1481.00,400.00,195.00,120.00,141.00,80.00,36.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 08:05:00,,2704.00,1472.00,402.00,194.00,122.00,141.00,78.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 09:05:00,,2699.00,1460.00,398.00,194.00,123.00,142.00,79.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 10:05:00,,2695.00,1461.00,401.00,194.00,120.00,140.00,80.00,35.00,APPROVED
VA: VIRGINIA BEACH,01/02/2014 11:05:00,,2719.00,1470.00,398.00,197.00,122.00,143.00,77.00,37.00,APPROVED
