LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
VT: BURLINGTON,01/01/2013 00:45:00,,1588.00,972.00,298.00,145.00,90.00,121.00,71.00,46.00,APPROVED
VT: BURLINGTON,01/01/2013 01:45:00,,1597.00,983.00,297.00,152.00,91.00,121.00,73.00,48.00,APPROVED
VT: BURLINGTON,01/01/2013 02:46:00,,1638.00,1015.00,312.00,158.00,96.00,125.00,73.00,48.00,APPROVED
VT: BURLINGTON,01/01/2013 03:46:00,,1761.00,1136.00,352.00,177.00,104.00,141.00,82.00,50.00,APPROVED
VT: BURLINGTON,01/01/2013 04:46:00,,1758.00,1123.00,353.00,177.00,104.00,141.00,80.00,51.00,APPROVED
VT: BURLINGTON,01/01/2013 05:46:00,,1761.00,1131.00,348.00,180.00,103.00,141.00,81.00,51.00,APPROVED
VT: BURLINGTON,01/01/2013 06:47:00,,1750.00,1118.00,342.00,170.00,101.00,139.00,80.00,51.00,APPROVED
VT: BURLINGTON,01/01/2013 07:47:00,,1943.00,1283.00,388.00,200.00,110.00,157.00,89.00,51.00,APPROVED
VT: BURLINGTON,01/01/2013 08:47:00,,1765.00,1135.00,344.00,176.00,104.00,141.00,83.00,50.00,APPROVED
VT: BURLINGTON,01/01/2013 09:47:00,,1822.00,1167.00,359.00,181.00,105.00,144.00,84.00,51.00,APPROVED
VT: BURLINGTON,01/01/2013 10:47:00,,1752.00,1130.00,344.00,180.00,106.00,141.00,83.00,50.00,APPROVED
VT: BURLINGTON,01/01/2013 11:48:00,,1659.00,1052.00,319.00,162.00,98.00,133.00,77.00,49.00,APPROVED
VT: BURLINGTON,01/01/2013 12:48:00,,1613.00,1009.00,312.00,155.00,93.00,128.00,71.00,48.00,APPROVED
VT: BURLINGTON,01/01/2013 13:48:00,,1588.00,991.00,302.00,149.00,92.00,127.00,70.00,49.00,APPROVED
VT: BURLINGTON,01/01/2013 14:48:00,,1569.00,974.00,300.00,147.00,92.00,122.00,70.00,47.00,APPROVED
VT: BURLINGTON,01/01/2013 15:49:00,,1560.00,956.00,293.00,144.00,90.00,121.00,68.00,48.00,APPROVED
VT: BURLINGTON,01/01/2013 16:49:00,,1558.00,939.00,290.00,141.00,88.00,115.00,68.00,47.00,APPROVED
VT: BURLINGTON,01/01/2013 17:49:00,,1591.00,962.00,292.00,145.00,90.00,120.00,68.00,49.00,APPROVED
VT: BURLINGTON,01/01/2013 18:49:00,,1608.00,998.00,307.00,148.00,94.00,125.00,70.00,47.00,APPROVED
VT: BURLINGTON,01/01/2013 19:49:00,,1570.00,961.00,304.00,144.00,92.00,125.00,68.00,48.00,APPROVED
VT: BURLINGTON,01/01/2013 20:50:00,,1517.00,922.00,287.00,137.00,89.00,118.00,65.00,46.00,APPROVED
VT: BURLINGTON,01/01/2013 21:50:00,,1478.00,880.00,272.00,132.00,85.00,112.00,61.00,46.00,APPROVED
VT: BURLINGTON,01/01/2013 22:50:00,,1451.00,848.00,263.00,122.00,83.00,106.00,61.00,45.00,APPROVED
VT: BURLINGTON,01/01/2013 23:50:00,,1440.00,842.00,262.00,122.00,81.00,108.00,59.00,46.00,APPROVED
VT: BURLINGTON,01/02/2013 00:51:00,,1444.00,839.00,259.00,123.00,82.00,106.00,58.00,45.00,APPROVED
VT: BURLINGTON,01/02/2013 01:51:00,,1437.00,834.00,262.00,121.00,82.00,109.00,57.00,46.00,APPROVED
