LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WA: OLYMPIA,01/01/2017 00:19:00,,1373.00,837.00,238.00,130.00,74.00,96.00,55.00,28.00,APPROVED
WA: OLYMPIA,01/01/2017 01:19:00,,1390.00,862.00,247.00,136.00,75.00,93.00,55.00,28.00,APPROVED
WA: OLYMPIA,01/01/2017 02:19:00,,1428.00,900.00,253.00,142.00,78.00,103.00,56.00,30.00,APPROVED
WA: OLYMPIA,01/01/2017 03:19:00,,1330.00,812.00,236.00,130.00,70.00,91.00,53.00,28.00,APPROVED
WA: OLYMPIA,01/01/2017 04:19:00,,1259.00,743.00,214.00,118.00,65.00,84.00,48.00,27.00,APPROVED
WA: OLYMPIA,01/01/2017 05:20:00,,1226.00,701.00,204.00,104.00,62.00,78.00,47.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 06:20:00,,1202.00,674.00,197.00,96.00,59.00,71.00,44.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 07:20:00,,1194.00,662.00,191.00,96.00,57.00,74.00,43.00,25.00,APPROVED
WA: OLYMPIA,01/01/2017 08:20:00,,1201.00,673.00,193.00,97.00,59.00,71.00,44.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 09:20:00,,1296.00,763.00,219.00,110.00,64.00,83.00,49.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 10:21:00,,1319.00,770.00,222.00,117.00,69.00,85.00,49.00,27.00,APPROVED
WA: OLYMPIA,01/01/2017 11:21:00,,1253.00,721.00,209.00,109.00,62.00,79.00,48.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 12:21:00,,1242.00,715.00,203.00,107.00,62.00,78.00,47.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 13:21:00,,1254.00,724.00,210.00,112.00,65.00,80.00,48.00,27.00,APPROVED
WA: OLYMPIA,01/01/2017 14:21:00,,1266.00,754.00,216.00,117.00,66.00,85.00,50.00,28.00,APPROVED
WA: OLYMPIA,01/01/2017 15:22:00,,1242.00,736.00,212.00,116.00,65.00,83.00,50.00,27.00,APPROVED
WA: OLYMPIA,01/01/2017 16:22:00,,1213.00,690.00,197.00,103.00,61.00,77.00,45.00,25.00,APPROVED
WA: OLYMPIA,01/01/2017 17:22:00,,1203.00,667.00,192.00,98.00,57.00,74.00,44.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 18:22:00,,1200.00,670.00,191.00,97.00,60.00,73.00,44.00,25.00,APPROVED
WA: OLYMPIA,01/01/2017 19:22:00,,1202.00,674.00,194.00,99.00,60.00,72.00,45.00,25.00,APPROVED
WA: OLYMPIA,01/01/2017 20:23:00,,1202.00,670.00,195.00,98.00,61.00,72.00,44.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 21:23:00,,1244.00,702.00,201.00,104.00,61.00,77.00,46.00,26.00,APPROVED
WA: OLYMPIA,01/01/2017 22:23:00,,1285.00,750.00,209.00,111.00,64.00,80.00,50.00,27.00,APPROVED
WA: OLYMPIA,01/01/2017 23:23:00,,1292.00,756.00,216.00,113.00,66.00,83.00,49.00,27.00,APPROVED
WA: OLYMPIA,01/02/2017 00:23:00,,1281.00,753.00,216.00,114.00,66.00,82.00,49.00,28.00,APPROVED
WA: OLYMPIA,01/02/2017 01:24:00,,1278.00,746.00,215.00,114.00,66.00,81.00,49.00,27.00,APPROVED
WA: OLYMPIA,01/02/2017 02:24:00,,1273.00,745.00,211.00,111.00,65.00,83.00,48.00,26.00,APPROVED
WA: OLYMPIA,01/02/2017 03:24:00,,1268.00,732.00,211.00,111.00,64.00,81.00,48.00,26.00,APPROVED
WA: OLYMPIA,01/02/2017 04:24:00,,1276.00,741.00,213.00,111.00,64.00,82.00,47.00,28.00,APPROVED
WA: OLYMPIA,01/02/2017 05:24:00,,1269.00,746.00,212.00,110.00,67.00,84.00,48.00,27.00,APPROVED
