LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WA: SPOKANE,01/01/2011 00:11:00,,4838.00,2151.00,649.00,297.00,185.00,225.00,89.00,40.00,APPROVED
WA: SPOKANE,01/02/2011 21:22:00,,4354.00,2339.00,718.00,328.00,201.00,247.00,106.00,45.00,APPROVED
WA: SPOKANE,01/02/2011 22:22:00,,4393.00,2304.00,706.00,325.00,197.00,243.00,103.00,43.00,APPROVED
WA: SPOKANE,01/02/2011 23:23:00,,4420.00,2309.00,714.00,328.00,200.00,247.00,105.00,41.00,APPROVED
WA: SPOKANE,01/03/2011 00:23:00,,4506.00,2326.00,716.00,327.00,199.00,248.00,107.00,40.00,APPROVED
WA: SPOKANE,01/03/2011 01:23:00,,4813.00,2346.00,721.00,333.00,201.00,253.00,106.00,42.00,APPROVED
WA: SPOKANE,01/03/2011 21:28:00,,4594.00,2455.00,759.00,351.00,210.00,264.00,116.00,44.00,APPROVED
WA: SPOKANE,01/03/2011 22:28:00,,4412.00,2408.00,744.00,346.00,209.00,260.00,114.00,44.00,APPROVED
WA: SPOKANE,01/03/2011 23:29:00,,4360.00,2369.00,728.00,336.00,205.00,250.00,110.00,43.00,APPROVED
WA: SPOKANE,01/04/2011 00:30:00,,4376.00,2320.00,712.00,330.00,202.00,243.00,108.00,43.00,APPROVED
WA: SPOKANE,01/04/2011 01:30:00,,4356.00,2302.00,703.00,326.00,200.00,243.00,105.00,42.00,APPROVED
WA: SPOKANE,01/04/2011 02:30:00,,4472.00,2369.00,729.00,335.00,203.00,253.00,112.00,42.00,APPROVED
WA: SPOKANE,01/04/2011 03:30:00,,4538.00,2425.00,747.00,348.00,208.00,262.00,116.00,44.00,APPROVED
WA: SPOKANE,01/04/2011 04:31:00,,4505.00,2438.00,744.00,349.00,207.00,261.00,116.00,46.00,APPROVED
WA: SPOKANE,01/04/2011 05:31:00,,4534.00,2452.00,752.00,351.00,208.00,265.00,116.00,43.00,APPROVED
WA: SPOKANE,01/04/2011 06:31:00,,4556.00,2476.00,768.00,359.00,214.00,269.00,119.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 07:31:00,,4499.00,2499.00,771.00,362.00,214.00,267.00,120.00,46.00,APPROVED
WA: SPOKANE,01/04/2011 08:32:00,,4533.00,2501.00,774.00,362.00,211.00,272.00,120.00,44.00,APPROVED
WA: SPOKANE,01/04/2011 09:32:00,,4598.00,2498.00,776.00,360.00,214.00,270.00,121.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 10:32:00,,4496.00,2511.00,766.00,363.00,215.00,271.00,120.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 11:32:00,,4397.00,2472.00,767.00,365.00,215.00,273.00,120.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 12:33:00,,4528.00,2496.00,761.00,364.00,213.00,271.00,121.00,46.00,APPROVED
WA: SPOKANE,01/04/2011 13:33:00,,4547.00,2498.00,770.00,362.00,216.00,271.00,121.00,46.00,APPROVED
WA: SPOKANE,01/04/2011 14:33:00,,4649.00,2585.00,794.00,371.00,221.00,280.00,126.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 15:33:00,,4597.00,2544.00,796.00,370.00,217.00,279.00,123.00,47.00,APPROVED
WA: SPOKANE,01/04/2011 16:34:00,,4503.00,2448.00,763.00,356.00,214.00,268.00,118.00,44.00,APPROVED
WA: SPOKANE,01/04/2011 17:34:00,,4403.00,2446.00,758.00,359.00,210.00,263.00,118.00,42.00,APPROVED
WA: SPOKANE,01/04/2011 18:34:00,,4266.00,2460.00,752.00,357.00,212.00,257.00,122.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 19:34:00,,4184.00,2475.00,758.00,364.00,212.00,262.00,125.00,45.00,APPROVED
WA: SPOKANE,01/04/2011 20:35:00,,4117.00,2469.00,754.00,367.00,213.00,260.00,126.00,43.00,APPROVED
WA: SPOKANE,01/04/2011 21:35:00,,4052.00,2392.00,724.00,351.00,207.00,250.00,123.00,44.00,APPROVED
WA: SPOKANE,01/04/2011 22:35:00,,3946.00,2310.00,709.00,344.00,202.00,237.00,120.00,42.00,APPROVED
WA: SPOKANE,01/04/2011 23:35:00,,3863.00,2273.00,693.00,331.00,201.00,234.00,116.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 00:36:00,,3923.00,2298.00,696.00,336.00,201.00,236.00,116.00,44.00,APPROVED
WA: SPOKANE,01/05/2011 01:36:00,,3906.00,2273.00,702.00,329.00,198.00,238.00,113.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 02:36:00,,3927.00,2264.00,700.00,325.00,198.00,234.00,113.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 03:36:00,,3958.00,2254.00,697.00,323.00,201.00,236.00,110.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 04:37:00,,3958.00,2255.00,686.00,326.00,199.00,240.00,109.00,41.00,APPROVED
WA: SPOKANE,01/05/2011 05:37:00,,3973.00,2272.00,694.00,328.00,196.00,237.00,110.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 06:37:00,,4017.00,2297.00,703.00,334.00,201.00,241.00,113.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 07:37:00,,4036.00,2304.00,709.00,337.00,199.00,243.00,115.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 08:38:00,,4038.00,2340.00,718.00,336.00,201.00,244.00,113.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 09:38:00,,4023.00,2272.00,709.00,324.00,198.00,240.00,108.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 10:38:00,,4040.00,2258.00,700.00,327.00,198.00,240.00,108.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 11:38:00,,4028.00,2268.00,691.00,326.00,196.00,239.00,110.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 12:38:00,,4039.00,2275.00,698.00,328.00,197.00,241.00,110.00,40.00,APPROVED
WA: SPOKANE,01/05/2011 13:39:00,,4032.00,2292.00,703.00,329.00,201.00,240.00,111.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 14:39:00,,4067.00,2308.00,710.00,334.00,201.00,243.00,113.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 15:39:00,,4104.00,2326.00,721.00,332.00,201.00,248.00,113.00,42.00,APPROVED
WA: SPOKANE,01/05/2011 16:00:00,,4014.00,2311.00,707.00,336.00,205.00,243.00,116.00,45.00,APPROVED
WA: SPOKANE,01/05/2011 17:15:00,,3942.00,2166.00,648.00,298.00,189.00,215.00,104.00,39.00,APPROVED
WA: SPOKANE,01/05/2011 18:15:00,,4064.00,2337.00,713.00,339.00,200.00,241.00,115.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 19:15:00,,4062.00,2409.00,736.00,354.00,205.00,255.00,120.00,44.00,APPROVED
WA: SPOKANE,01/05/2011 20:15:00,,4053.00,2424.00,737.00,355.00,210.00,251.00,124.00,45.00,APPROVED
WA: SPOKANE,01/05/2011 21:16:00,,4050.00,2418.00,738.00,358.00,212.00,255.00,126.00,43.00,APPROVED
WA: SPOKANE,01/05/2011 22:16:00,,3949.00,2401.00,728.00,362.00,211.00,251.00,128.00,44.00,APPROVED
WA: SPOKANE,01/05/2011 23:16:00,,3745.00,2231.00,681.00,342.00,195.00,230.00,122.00,42.00,APPROVED
WA: SPOKANE,01/06/2011 00:16:00,,3640.00,2145.00,649.00,317.00,186.00,212.00,115.00,40.00,APPROVED
WA: SPOKANE,01/06/2011 01:17:00,,3634.00,2105.00,630.00,306.00,183.00,207.00,115.00,39.00,APPROVED
WA: SPOKANE,01/06/2011 02:17:00,,3739.00,2224.00,661.00,332.00,193.00,220.00,119.00,43.00,APPROVED
WA: SPOKANE,01/06/2011 03:17:00,,3766.00,2270.00,689.00,341.00,195.00,232.00,121.00,41.00,APPROVED
WA: SPOKANE,01/06/2011 04:17:00,,3825.00,2312.00,696.00,350.00,206.00,240.00,128.00,43.00,APPROVED
WA: SPOKANE,01/06/2011 05:18:00,,3853.00,2351.00,711.00,355.00,205.00,248.00,128.00,43.00,APPROVED
WA: SPOKANE,01/06/2011 06:18:00,,3863.00,2374.00,724.00,362.00,207.00,249.00,129.00,45.00,APPROVED
WA: SPOKANE,01/06/2011 07:18:00,,3871.00,2384.00,722.00,363.00,207.00,253.00,131.00,43.00,APPROVED
WA: SPOKANE,01/06/2011 08:18:00,,3864.00,2373.00,728.00,364.00,208.00,251.00,129.00,44.00,APPROVED
WA: SPOKANE,01/06/2011 09:19:00,,3830.00,2327.00,709.00,353.00,202.00,243.00,128.00,43.00,APPROVED
WA: SPOKANE,01/06/2011 10:19:00,,3839.00,2325.00,711.00,354.00,207.00,243.00,126.00,44.00,APPROVED
WA: SPOKANE,01/06/2011 11:19:00,,3868.00,2377.00,728.00,361.00,210.00,249.00,130.00,45.00,APPROVED
WA: SPOKANE,01/06/2011 12:19:00,,3893.00,2404.00,731.00,370.00,211.00,252.00,132.00,45.00,APPROVED
