LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WI: LA CROSSE,01/01/2026 00:27:00,53.00,1812.00,1045.00,298.00,165.00,112.00,145.00,107.00,17.00,APPROVED
WI: LA CROSSE,01/01/2026 01:27:00,50.00,1801.00,1030.00,296.00,165.00,109.00,141.00,104.00,17.00,APPROVED
WI: LA CROSSE,01/01/2026 02:27:00,50.00,1761.00,1014.00,291.00,159.00,107.00,137.00,102.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 03:27:00,50.00,1723.00,988.00,288.00,155.00,105.00,135.00,104.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 04:27:00,51.00,1723.00,980.00,284.00,151.00,106.00,133.00,103.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 05:28:00,50.00,1724.00,973.00,280.00,152.00,103.00,131.00,101.00,17.00,APPROVED
WI: LA CROSSE,01/01/2026 06:28:00,50.00,1708.00,974.00,279.00,153.00,105.00,133.00,100.00,15.00,APPROVED
WI: LA CROSSE,01/01/2026 07:28:00,50.00,1707.00,969.00,275.00,150.00,105.00,131.00,101.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 08:28:00,49.00,1692.00,957.00,278.00,150.00,105.00,131.00,98.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 09:28:00,49.00,1688.00,944.00,280.00,148.00,100.00,127.00,100.00,15.00,APPROVED
WI: LA CROSSE,01/01/2026 10:28:00,50.00,1686.00,950.00,271.00,147.00,104.00,129.00,100.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 11:28:00,50.00,1674.00,939.00,277.00,145.00,103.00,127.00,100.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 12:28:00,48.00,1667.00,943.00,268.00,145.00,101.00,129.00,97.00,15.00,APPROVED
WI: LA CROSSE,01/01/2026 13:28:00,51.00,1672.00,939.00,272.00,146.00,102.00,130.00,100.00,15.00,APPROVED
WI: LA CROSSE,01/01/2026 14:28:00,51.00,1674.00,948.00,275.00,145.00,101.00,128.00,100.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 15:28:00,52.00,1712.00,975.00,279.00,151.00,105.00,133.00,100.00,15.00,APPROVED
WI: LA CROSSE,01/01/2026 16:28:00,53.00,1779.00,1035.00,292.00,161.00,108.00,136.00,105.00,17.00,APPROVED
WI: LA CROSSE,01/01/2026 17:28:00,55.00,1783.00,1040.00,296.00,164.00,108.00,142.00,104.00,17.00,APPROVED
WI: LA CROSSE,01/01/2026 18:28:00,52.00,1746.00,1008.00,292.00,159.00,106.00,137.00,103.00,17.00,APPROVED
WI: LA CROSSE,01/01/2026 19:28:00,50.00,1695.00,959.00,277.00,150.00,102.00,132.00,100.00,16.00,APPROVED
WI: LA CROSSE,01/01/2026 20:28:00,51.00,1676.00,945.00,277.00,147.00,103.00,127.00,99.00,15.00,APPROVED
