LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WI: MILWAUKEE,01/01/2014 00:58:00,,1337.00,909.00,259.00,168.00,86.00,114.00,73.00,39.00,APPROVED
WI: MILWAUKEE,01/01/2014 01:58:00,,1304.00,877.00,250.00,163.00,82.00,108.00,69.00,36.00,APPROVED
WI: MILWAUKEE,01/01/2014 02:58:00,,1317.00,899.00,256.00,170.00,83.00,113.00,72.00,39.00,APPROVED
WI: MILWAUKEE,01/01/2014 03:58:00,,1276.00,871.00,250.00,162.00,82.00,110.00,70.00,38.00,APPROVED
WI: MILWAUKEE,01/01/2014 04:59:00,,1236.00,821.00,233.00,153.00,78.00,105.00,69.00,36.00,APPROVED
WI: MILWAUKEE,01/01/2014 05:59:00,,1125.00,717.00,208.00,128.00,71.00,90.00,61.00,34.00,APPROVED
WI: MILWAUKEE,01/01/2014 06:59:00,,1095.00,662.00,193.00,113.00,64.00,81.00,56.00,34.00,APPROVED
WI: MILWAUKEE,01/01/2014 07:59:00,,1102.00,650.00,192.00,111.00,62.00,79.00,56.00,33.00,APPROVED
WI: MILWAUKEE,01/01/2014 08:59:00,,1099.00,649.00,189.00,108.00,62.00,80.00,56.00,33.00,APPROVED
WI: MILWAUKEE,01/01/2014 10:00:00,,1097.00,661.00,190.00,110.00,63.00,80.00,56.00,33.00,APPROVED
WI: MILWAUKEE,01/01/2014 11:00:00,,1124.00,677.00,194.00,114.00,63.00,81.00,56.00,34.00,APPROVED
WI: MILWAUKEE,01/01/2014 12:00:00,,1142.00,698.00,201.00,120.00,67.00,85.00,57.00,35.00,APPROVED
