LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WV: CHARLESTON,01/01/2014 00:26:00,,2356.00,1448.00,395.00,215.00,125.00,159.00,103.00,39.00,APPROVED
WV: CHARLESTON,01/01/2014 01:27:00,,2401.00,1468.00,399.00,217.00,130.00,161.00,102.00,41.00,APPROVED
WV: CHARLESTON,01/01/2014 02:27:00,,2428.00,1498.00,403.00,227.00,131.00,167.00,103.00,42.00,APPROVED
WV: CHARLESTON,01/01/2014 03:27:00,,2461.00,1518.00,411.00,233.00,133.00,169.00,105.00,43.00,APPROVED
WV: CHARLESTON,01/01/2014 04:27:00,,2509.00,1566.00,423.00,239.00,135.00,174.00,108.00,43.00,APPROVED
WV: CHARLESTON,01/01/2014 05:28:00,,2525.00,1594.00,427.00,245.00,138.00,180.00,109.00,45.00,APPROVED
WV: CHARLESTON,01/01/2014 06:28:00,,2564.00,1613.00,434.00,253.00,138.00,181.00,111.00,46.00,APPROVED
WV: CHARLESTON,01/01/2014 07:28:00,,2574.00,1648.00,442.00,261.00,143.00,187.00,112.00,46.00,APPROVED
WV: CHARLESTON,01/01/2014 08:28:00,,2617.00,1664.00,452.00,264.00,148.00,190.00,114.00,46.00,APPROVED
WV: CHARLESTON,01/01/2014 09:29:00,,2639.00,1679.00,455.00,265.00,144.00,189.00,116.00,48.00,APPROVED
WV: CHARLESTON,01/01/2014 10:29:00,,2638.00,1693.00,461.00,268.00,144.00,190.00,116.00,48.00,APPROVED
WV: CHARLESTON,01/01/2014 11:29:00,,2658.00,1716.00,458.00,271.00,149.00,193.00,117.00,48.00,APPROVED
WV: CHARLESTON,01/01/2014 12:29:00,,2682.00,1717.00,470.00,279.00,149.00,194.00,117.00,48.00,APPROVED
WV: CHARLESTON,01/01/2014 13:30:00,,2668.00,1725.00,471.00,278.00,147.00,194.00,120.00,49.00,APPROVED
WV: CHARLESTON,01/01/2014 14:30:00,,2660.00,1727.00,471.00,274.00,152.00,195.00,117.00,47.00,APPROVED
WV: CHARLESTON,01/01/2014 15:30:00,,2650.00,1711.00,460.00,270.00,150.00,193.00,117.00,48.00,APPROVED
WV: CHARLESTON,01/01/2014 16:30:00,,2597.00,1660.00,455.00,261.00,147.00,189.00,116.00,47.00,APPROVED
WV: CHARLESTON,01/01/2014 17:30:00,,2452.00,1542.00,433.00,237.00,139.00,177.00,107.00,43.00,APPROVED
WV: CHARLESTON,01/01/2014 18:31:00,,2363.00,1471.00,421.00,226.00,136.00,172.00,106.00,41.00,APPROVED
WV: CHARLESTON,01/01/2014 19:31:00,,2271.00,1431.00,410.00,226.00,129.00,170.00,105.00,42.00,APPROVED
WV: CHARLESTON,01/01/2014 20:31:00,,2196.00,1379.00,403.00,219.00,132.00,169.00,106.00,43.00,APPROVED
WV: CHARLESTON,01/01/2014 21:31:00,,2192.00,1381.00,403.00,218.00,133.00,168.00,106.00,43.00,APPROVED
WV: CHARLESTON,01/01/2014 22:32:00,,2261.00,1406.00,395.00,217.00,128.00,166.00,105.00,43.00,APPROVED
WV: CHARLESTON,01/01/2014 23:32:00,,2357.00,1456.00,402.00,216.00,131.00,166.00,101.00,41.00,APPROVED
WV: CHARLESTON,01/02/2014 00:32:00,,2420.00,1494.00,412.00,224.00,133.00,167.00,106.00,43.00,APPROVED
WV: CHARLESTON,01/02/2014 01:32:00,,2463.00,1531.00,420.00,231.00,134.00,170.00,106.00,42.00,APPROVED
WV: CHARLESTON,01/02/2014 02:33:00,,2497.00,1560.00,427.00,241.00,138.00,177.00,107.00,44.00,APPROVED
WV: CHARLESTON,01/02/2014 03:33:00,,2531.00,1586.00,428.00,244.00,138.00,176.00,109.00,45.00,APPROVED
WV: CHARLESTON,01/02/2014 04:33:00,,2555.00,1616.00,435.00,253.00,140.00,183.00,109.00,44.00,APPROVED
WV: CHARLESTON,01/02/2014 05:33:00,,2576.00,1645.00,446.00,255.00,143.00,187.00,113.00,47.00,APPROVED
WV: CHARLESTON,01/02/2014 06:34:00,,2625.00,1667.00,454.00,263.00,143.00,192.00,114.00,46.00,APPROVED
WV: CHARLESTON,01/02/2014 07:34:00,,2631.00,1699.00,465.00,270.00,150.00,191.00,116.00,49.00,APPROVED
WV: CHARLESTON,01/02/2014 08:34:00,,2669.00,1724.00,466.00,274.00,146.00,196.00,117.00,48.00,APPROVED
WV: CHARLESTON,01/02/2014 09:34:00,,2697.00,1746.00,472.00,276.00,151.00,195.00,119.00,48.00,APPROVED
WV: CHARLESTON,01/02/2014 10:34:00,,2700.00,1748.00,479.00,283.00,151.00,196.00,118.00,48.00,APPROVED
WV: CHARLESTON,01/02/2014 11:35:00,,2703.00,1765.00,477.00,278.00,152.00,200.00,118.00,49.00,APPROVED
WV: CHARLESTON,01/02/2014 12:35:00,,2704.00,1767.00,474.00,284.00,154.00,198.00,122.00,50.00,APPROVED
WV: CHARLESTON,01/02/2014 13:35:00,,2727.00,1778.00,486.00,293.00,155.00,201.00,121.00,48.00,APPROVED
WV: CHARLESTON,01/02/2014 14:35:00,,2740.00,1792.00,487.00,292.00,155.00,202.00,124.00,50.00,APPROVED
WV: CHARLESTON,01/02/2014 15:36:00,,2715.00,1778.00,485.00,288.00,155.00,202.00,120.00,50.00,APPROVED
WV: CHARLESTON,01/02/2014 16:36:00,,2665.00,1721.00,471.00,278.00,150.00,198.00,121.00,49.00,APPROVED
WV: CHARLESTON,01/02/2014 17:36:00,,2691.00,1734.00,474.00,273.00,147.00,196.00,116.00,47.00,APPROVED
WV: CHARLESTON,01/02/2014 18:36:00,,2997.00,2025.00,547.00,327.00,168.00,226.00,132.00,54.00,APPROVED
WV: CHARLESTON,01/02/2014 19:37:00,,3202.00,2204.00,595.00,363.00,185.00,247.00,141.00,58.00,APPROVED
WV: CHARLESTON,01/02/2014 20:37:00,,3121.00,2117.00,584.00,352.00,177.00,245.00,137.00,57.00,APPROVED
WV: CHARLESTON,01/02/2014 21:37:00,,3036.00,2029.00,561.00,336.00,170.00,228.00,136.00,56.00,APPROVED
WV: CHARLESTON,01/02/2014 22:37:00,,2857.00,1875.00,508.00,302.00,162.00,214.00,126.00,50.00,APPROVED
WV: CHARLESTON,01/02/2014 23:38:00,,2987.00,1978.00,541.00,318.00,165.00,219.00,129.00,53.00,APPROVED
WV: CHARLESTON,01/03/2014 00:38:00,,2780.00,1830.00,502.00,295.00,159.00,208.00,126.00,53.00,APPROVED
WV: CHARLESTON,01/03/2014 01:38:00,,2578.00,1634.00,450.00,263.00,143.00,185.00,112.00,46.00,APPROVED
WV: CHARLESTON,01/03/2014 02:38:00,,2448.00,1526.00,416.00,236.00,135.00,171.00,108.00,41.00,APPROVED
WV: CHARLESTON,01/03/2014 03:39:00,,2366.00,1451.00,396.00,219.00,128.00,165.00,102.00,41.00,APPROVED
WV: CHARLESTON,01/03/2014 04:39:00,,2347.00,1406.00,393.00,211.00,124.00,162.00,101.00,42.00,APPROVED
WV: CHARLESTON,01/03/2014 05:39:00,,2316.00,1381.00,379.00,207.00,122.00,159.00,101.00,43.00,APPROVED
WV: CHARLESTON,01/03/2014 06:39:00,,2314.00,1342.00,372.00,203.00,119.00,151.00,97.00,40.00,APPROVED
WV: CHARLESTON,01/03/2014 07:39:00,,2293.00,1327.00,365.00,197.00,118.00,150.00,99.00,40.00,APPROVED
WV: CHARLESTON,01/03/2014 08:40:00,,2318.00,1307.00,363.00,195.00,118.00,149.00,96.00,40.00,APPROVED
WV: CHARLESTON,01/03/2014 09:40:00,,2340.00,1328.00,366.00,196.00,118.00,150.00,96.00,38.00,APPROVED
WV: CHARLESTON,01/03/2014 10:40:00,,2400.00,1327.00,366.00,198.00,117.00,148.00,97.00,40.00,APPROVED
WV: CHARLESTON,01/03/2014 11:40:00,,2468.00,1325.00,369.00,196.00,118.00,149.00,95.00,39.00,APPROVED
WV: CHARLESTON,01/03/2014 12:41:00,,2497.00,1324.00,366.00,200.00,120.00,151.00,95.00,39.00,APPROVED
WV: CHARLESTON,01/03/2014 13:41:00,,2562.00,1334.00,370.00,197.00,120.00,153.00,96.00,40.00,APPROVED
WV: CHARLESTON,01/03/2014 14:41:00,,2629.00,1328.00,369.00,196.00,118.00,149.00,97.00,41.00,APPROVED
WV: CHARLESTON,01/03/2014 15:41:00,,2565.00,1334.00,368.00,198.00,117.00,150.00,98.00,40.00,APPROVED
WV: CHARLESTON,01/03/2014 16:42:00,,2381.00,1336.00,372.00,199.00,122.00,151.00,94.00,39.00,APPROVED
WV: CHARLESTON,01/03/2014 17:42:00,,2286.00,1328.00,367.00,195.00,117.00,151.00,95.00,39.00,APPROVED
WV: CHARLESTON,01/03/2014 18:42:00,,2261.00,1320.00,368.00,193.00,119.00,150.00,95.00,39.00,APPROVED
