LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WY: CASPER,01/10/2017 19:08:00,,2780.00,1601.00,437.00,215.00,133.00,154.00,100.00,35.00,APPROVED
WY: CASPER,01/10/2017 20:09:00,,2814.00,1649.00,442.00,223.00,139.00,159.00,101.00,36.00,APPROVED
WY: CASPER,01/10/2017 21:09:00,,2831.00,1640.00,446.00,222.00,138.00,161.00,100.00,36.00,APPROVED
WY: CASPER,01/10/2017 22:09:00,,2832.00,1636.00,442.00,220.00,139.00,155.00,98.00,35.00,APPROVED
WY: CASPER,01/10/2017 23:09:00,,2838.00,1648.00,443.00,222.00,135.00,159.00,99.00,35.00,APPROVED
WY: CASPER,01/11/2017 00:09:00,,2819.00,1640.00,444.00,219.00,138.00,158.00,100.00,35.00,APPROVED
WY: CASPER,01/11/2017 01:10:00,,2816.00,1626.00,444.00,218.00,137.00,157.00,97.00,36.00,APPROVED
WY: CASPER,01/11/2017 02:10:00,,2809.00,1619.00,440.00,216.00,137.00,158.00,100.00,36.00,APPROVED
WY: CASPER,01/11/2017 03:10:00,,2852.00,1646.00,445.00,222.00,134.00,157.00,102.00,36.00,APPROVED
WY: CASPER,01/11/2017 04:10:00,,2884.00,1688.00,454.00,228.00,138.00,161.00,100.00,36.00,APPROVED
WY: CASPER,01/11/2017 05:10:00,,2880.00,1690.00,453.00,228.00,139.00,163.00,102.00,37.00,APPROVED
WY: CASPER,01/11/2017 06:11:00,,2882.00,1681.00,449.00,229.00,139.00,164.00,104.00,36.00,APPROVED
WY: CASPER,01/11/2017 07:11:00,,2872.00,1680.00,453.00,230.00,141.00,164.00,103.00,37.00,APPROVED
WY: CASPER,01/11/2017 08:11:00,,2867.00,1672.00,450.00,232.00,136.00,163.00,103.00,36.00,APPROVED
WY: CASPER,01/11/2017 09:11:00,,3150.00,1964.00,513.00,290.00,162.00,194.00,119.00,44.00,APPROVED
WY: CASPER,01/11/2017 10:12:00,,3094.00,2008.00,530.00,325.00,171.00,207.00,125.00,51.00,APPROVED
WY: CASPER,01/11/2017 11:12:00,,3018.00,1941.00,505.00,309.00,164.00,203.00,123.00,47.00,APPROVED
WY: CASPER,01/11/2017 12:12:00,,2960.00,1892.00,504.00,299.00,163.00,197.00,122.00,48.00,APPROVED
WY: CASPER,01/11/2017 13:12:00,,2919.00,1859.00,494.00,293.00,160.00,194.00,118.00,47.00,APPROVED
WY: CASPER,01/11/2017 14:12:00,,2954.00,1877.00,498.00,295.00,160.00,199.00,121.00,46.00,APPROVED
WY: CASPER,01/11/2017 15:13:00,,3040.00,1974.00,519.00,313.00,168.00,205.00,121.00,49.00,APPROVED
WY: CASPER,01/11/2017 16:13:00,,3097.00,1984.00,525.00,318.00,169.00,208.00,127.00,50.00,APPROVED
WY: CASPER,01/11/2017 17:13:00,,2982.00,1888.00,505.00,292.00,161.00,200.00,119.00,45.00,APPROVED
WY: CASPER,01/12/2017 17:16:00,,3276.00,1931.00,540.00,278.00,161.00,203.00,112.00,41.00,APPROVED
WY: CASPER,01/12/2017 18:16:00,,3274.00,1918.00,535.00,271.00,159.00,195.00,109.00,39.00,APPROVED
WY: CASPER,01/12/2017 19:16:00,,3304.00,1890.00,527.00,262.00,157.00,195.00,105.00,39.00,APPROVED
WY: CASPER,01/12/2017 20:17:00,,3200.00,1839.00,512.00,253.00,153.00,188.00,99.00,38.00,APPROVED
WY: CASPER,01/12/2017 21:17:00,,3116.00,1766.00,491.00,242.00,146.00,180.00,98.00,37.00,APPROVED
WY: CASPER,01/12/2017 22:17:00,,3073.00,1727.00,482.00,235.00,144.00,176.00,98.00,37.00,APPROVED
WY: CASPER,01/12/2017 23:17:00,,3060.00,1708.00,476.00,235.00,144.00,174.00,96.00,36.00,APPROVED
WY: CASPER,01/13/2017 00:17:00,,3045.00,1669.00,471.00,226.00,142.00,169.00,95.00,35.00,APPROVED
WY: CASPER,01/13/2017 01:18:00,,3070.00,1687.00,468.00,226.00,142.00,169.00,92.00,35.00,APPROVED
WY: CASPER,01/13/2017 02:18:00,,3073.00,1697.00,464.00,225.00,141.00,168.00,93.00,34.00,APPROVED
WY: CASPER,01/13/2017 03:18:00,,3159.00,1775.00,493.00,240.00,146.00,179.00,99.00,36.00,APPROVED
WY: CASPER,01/13/2017 04:18:00,,3220.00,1820.00,500.00,247.00,148.00,183.00,104.00,39.00,APPROVED
WY: CASPER,01/13/2017 05:18:00,,3238.00,1848.00,512.00,255.00,150.00,190.00,102.00,38.00,APPROVED
WY: CASPER,01/13/2017 06:19:00,,3245.00,1856.00,511.00,259.00,155.00,186.00,106.00,39.00,APPROVED
WY: CASPER,01/13/2017 07:19:00,,3246.00,1884.00,521.00,265.00,155.00,192.00,108.00,39.00,APPROVED
WY: CASPER,01/13/2017 08:19:00,,3249.00,1906.00,522.00,263.00,156.00,193.00,108.00,38.00,APPROVED
WY: CASPER,01/13/2017 09:19:00,,3294.00,1938.00,539.00,274.00,159.00,203.00,111.00,38.00,APPROVED
WY: CASPER,01/13/2017 10:19:00,,3354.00,2000.00,551.00,282.00,166.00,204.00,113.00,40.00,APPROVED
WY: CASPER,01/13/2017 11:20:00,,3365.00,2019.00,558.00,285.00,163.00,208.00,116.00,40.00,APPROVED
WY: CASPER,01/13/2017 12:20:00,,3378.00,2025.00,557.00,289.00,165.00,211.00,116.00,40.00,APPROVED
