Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
1,Ågesta,59.206000,18.082900,Sweden,SE,Shutdown,PHWR,,12-01-57,05-01-64,06-02-74,9,5/24/15 7:51,WNA/IAEA,528
2,Akademik Lomonosov-1,69.709579,170.306250,Russia,RU,Operational,PWR,KLT-40S 'Floating',04-15-07,05-22-20,,30,05-31-21,WNA/IAEA/Google Maps,895
3,Akademik Lomonosov-2,69.709579,170.306250,Russia,RU,Operational,PWR,KLT-40S 'Floating',04-15-07,05-22-20,,30,05-31-21,WNA/IAEA/Google Maps,896
4,Akhvaz-1,,,Iran,IR,Planned,,,,,,,,WNA,
5,Akhvaz-2,,,Iran,IR,Planned,,,,,,,,WNA,
6,Akkuyu-1,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,04-03-18,,,1114,7/1/18 4:21,WNA/Wikipedia/IAEA,553
7,Akkuyu-2,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,04-08-20,,,1114,8/31/20 4:39,Wikipedia/IAEA,1080
8,Akkuyu-3,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,03-10-21,,,1114,4/20/21 5:47,Wikipedia/IAEA,1081
9,Akkuyu-4,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,07-21-22,,,1114,9/25/22 1:33,Wikipedia/IAEA,1082
10,Aktau (Shevchenko),43.607000,51.283000,Kazakhstan,KZ,Shutdown,FBR,BN-350,10-01-64,07-16-73,04-22-99,52,10/1/21 3:14,WNA/IAEA,414
11,Almaraz-1,39.807000,-5.698000,Spain,ES,Operational,PWR,WH 3LP,07-03-73,09-01-83,,900,2/11/17 1:56,WNA/IAEA,153
12,Almaraz-2,39.807000,-5.698000,Spain,ES,Operational,PWR,WH 3LP,07-03-73,07-01-84,,900,6/2/19 23:17,WNA/IAEA,154
13,Angra-1,-23.008000,-44.457000,Brazil,BR,Operational,PWR,WH 2LP,05-01-71,01-01-85,,609,2/14/21 5:47,WNA/IAEA,24
14,Angra-2,-23.008000,-44.457000,Brazil,BR,Operational,PWR,PRE KONVOI,01-01-76,02-01-01,,1245,5/24/15 7:50,WNA/IAEA,25
15,Angra-3,-23.010000,-44.470000,Brazil,BR,Under Construction,PWR,PRE KONVOI,05-30-10,,,1340,8/28/23 11:01,WNA/IAEA,26
16,APS-1 Obninsk,55.084000,36.570000,Russia,RU,Shutdown,LWGR,AM-1,01-01-51,12-01-54,04-29-02,5,5/24/15 7:51,WNA/IAEA,447
17,Arkansas Nuclear One-1 (ANO-1),35.310000,-93.230000,United States,US,Operational,PWR,B&W LLP (DRYAMB),10-01-68,12-19-74,,850,2/11/17 1:58,WNA/IAEA,652
18,Arkansas Nuclear One-2 (ANO-2),35.310000,-93.229000,United States,US,Operational,PWR,CE 2LP (DRYAMB),12-06-68,03-26-80,,912,2/11/17 1:58,WNA/IAEA,689
19,Armenian-1,40.182000,44.147000,Armenia,AM,Shutdown,PWR,VVER V-270,07-01-69,10-06-77,02-25-89,376,06-07-21,WNA/IAEA,1
20,Armenian-2,40.182000,44.147000,Armenia,AM,Operational,PWR,VVER V-270,07-01-75,05-03-80,,375,6/29/21 3:12,WNA/IAEA,2
21,Armenian-3,40.180800,44.147200,Armenia,AM,Planned,PWR,,,,,,06-07-21,WNA,
22,Asco-1,41.202000,0.571000,Spain,ES,Operational,PWR,WH 3LP,05-16-74,12-10-84,,888,8/28/23 11:01,WNA/IAEA,155
23,Asco-2,41.202000,0.571000,Spain,ES,Operational,PWR,WH 3LP,03-07-75,03-31-86,,888,8/28/23 11:01,WNA/IAEA,156
24,Atucha-1,-33.967000,-59.209000,Argentina,AR,Operational,PHWR,PHWR KWU,06-01-68,06-24-74,,319,4/21/22 23:26,WNA/IAEA,3
25,Atucha-2,-33.967000,-59.209000,Argentina,AR,Operational,PHWR,PHWR KWU,07-13-81,05-25-16,,692,8/28/23 11:01,WNA/IAEA,5
26,Balakovo-1,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,12-01-80,05-23-86,,950,5/24/15 7:51,WNA/IAEA,524
27,Balakovo-2,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,08-01-81,01-18-88,,950,5/24/15 7:51,WNA/IAEA,525
28,Balakovo-3,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,11-01-82,04-08-89,,950,5/24/15 7:51,WNA/IAEA,526
29,Balakovo-4,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,04-01-84,12-22-93,,950,5/24/15 7:51,WNA/IAEA,527
30,Baltic-1,54.939000,22.162000,Russia,RU,Under Construction,PWR,VVER V-491,02-22-12,,,1109,5/24/15 7:51,WNA/IAEA,968
31,Barakah-1 (Braka),23.952748,52.193298,United Arab Emirates,AE,Operational,PWR,APR-1400,07-19-12,04-01-21,,1310,8/28/23 11:01,WNA/IAEA,1050
32,Barakah-2 (Braka),23.952748,52.193298,United Arab Emirates,AE,Operational,PWR,APR-1400,04-15-13,03-24-22,,1310,8/28/23 11:01,WNA/IAEA,1051
33,Barakah-3 (Braka),23.952748,52.203298,United Arab Emirates,AE,Operational,PWR,APR-1400,09-24-14,02-24-23,,1310,8/28/23 11:01,WNA/IAEA,1052
34,Chutka-1,,,India,IN,Planned,PHWR,,,,,,06-07-21,WNA,
35,Chutka-2,,,India,IN,Planned,PHWR,,,,,,06-07-21,WNA,
36,Barseback-1,55.745000,12.926000,Sweden,SE,Shutdown,BWR,AA-II,02-01-71,07-01-75,11-30-99,570,3/10/18 16:51,WNA/IAEA,538
37,Barseback-2,55.745000,12.926000,Sweden,SE,Shutdown,BWR,AA-II,01-01-73,07-01-77,05-31-05,570,3/10/18 16:52,WNA/IAEA,540
38,Beaver Valley-1,40.624000,-80.432000,United States,US,Operational,PWR,WH 3LP (DRYSUB),06-26-70,10-01-76,,835,2/11/17 1:58,WNA/IAEA,669
39,Beaver Valley-2,40.624000,-80.432000,United States,US,Operational,PWR,WH 3LP (DRYSUB),05-03-74,11-17-87,,836,2/11/17 1:58,WNA/IAEA,712
40,Belarusian-1,54.766667,26.116667,Belarus,BY,Operational,PWR,VVER V-491,11-08-13,06-10-21,,1110,10/1/21 3:14,IAEA,1056
41,Belarusian-2,54.766667,26.116667,Belarus,BY,Operational,PWR,VVER V-491,04-27-14,,,1110,8/28/23 11:01,IAEA,1061
42,Belene-1,43.624530,25.186750,Bulgaria,BG,Cancelled Construction,PWR,,01-01-87,,,953,2/14/21 2:57,WNA/IAEA,
43,Belene-2,43.624530,25.186500,Bulgaria,BG,Cancelled Construction,PWR,,03-31-87,,,953,2/14/21 2:57,WNA/IAEA,
44,Belleville-1,47.511000,2.871000,France,FR,Operational,PWR,P4 REP 1300,05-01-80,06-01-88,,1310,5/24/15 7:51,WNA/IAEA,211
45,Belleville-2,47.511000,2.871000,France,FR,Operational,PWR,P4 REP 1300,08-01-80,01-01-89,,1310,5/24/15 7:51,WNA/IAEA,212
46,Beloyarsk-1,56.842000,61.321000,Russia,RU,Shutdown,LWGR,AMB-100,06-01-58,04-26-64,01-01-83,102,5/24/15 7:51,WNA/IAEA,488
47,Beloyarsk-2,56.842000,61.321000,Russia,RU,Shutdown,LWGR,AMB-200,01-01-62,12-01-69,01-01-90,146,5/24/15 7:51,WNA/IAEA,503
48,Beloyarsk-3,56.842000,61.321000,Russia,RU,Operational,FBR,BN-600,01-01-69,11-01-81,,560,5/24/15 7:51,WNA/IAEA,484
49,Beloyarsk-4,56.842000,61.321000,Russia,RU,Operational,FBR,BN-800,07-18-06,10-31-16,,820,9/25/17 6:19,WNA/IAEA,451
50,Beloyarsk-5,56.842000,61.321000,Russia,RU,Planned,FBR,BN-1200,,,,,,WNA/Wikipedia,
51,Berkeley-1,51.692000,-2.494000,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-57,06-12-62,03-31-89,138,5/24/15 7:51,WNA/IAEA,264
