station_id,station_lat,station_lon,station_state,station_city,plant_name,plant_lat,plant_lon,plant_country,plant_status,reactor_type_std,capacity_mw,operational_from,distance_km,rank_proximity
AK_ANCHORAGE,61.2163129,-149.894852,AK,ANCHORAGE,Akademik Lomonosov-1,69.709579,170.30625,Russia,Operational,PWR,30.0,05-22-20,2016.14,1
AK_ANCHORAGE,61.2163129,-149.894852,AK,ANCHORAGE,Akademik Lomonosov-2,69.709579,170.30625,Russia,Operational,PWR,30.0,05-22-20,2016.14,2
AK_ANCHORAGE,61.2163129,-149.894852,AK,ANCHORAGE,Bilibino-4,68.059,166.492,Russia,Operational,LWGR,11.0,01-01-77,2157.176,3
AK_ANCHORAGE,61.2163129,-149.894852,AK,ANCHORAGE,Bilibino-2,68.059,166.492,Russia,Operational,LWGR,11.0,02-01-75,2157.176,4
AK_ANCHORAGE,61.2163129,-149.894852,AK,ANCHORAGE,Bilibino-3,68.059,166.492,Russia,Operational,LWGR,11.0,02-01-76,2157.176,5
AK_FAIRBANKS,64.837845,-147.716675,AK,FAIRBANKS,Akademik Lomonosov-1,69.709579,170.30625,Russia,Operational,PWR,30.0,05-22-20,1840.645,1
AK_FAIRBANKS,64.837845,-147.716675,AK,FAIRBANKS,Akademik Lomonosov-2,69.709579,170.30625,Russia,Operational,PWR,30.0,05-22-20,1840.645,2
AK_FAIRBANKS,64.837845,-147.716675,AK,FAIRBANKS,Bilibino-2,68.059,166.492,Russia,Operational,LWGR,11.0,02-01-75,2016.515,3
AK_FAIRBANKS,64.837845,-147.716675,AK,FAIRBANKS,Bilibino-4,68.059,166.492,Russia,Operational,LWGR,11.0,01-01-77,2016.515,4
AK_FAIRBANKS,64.837845,-147.716675,AK,FAIRBANKS,Bilibino-3,68.059,166.492,Russia,Operational,LWGR,11.0,02-01-76,2016.515,5
AK_JUNEAU,58.3019613,-134.4196751,AK,JUNEAU,Columbia (WNP-2),46.471,-119.333,United States,Operational,BWR,1100.0,12-13-84,1659.09,1
AK_JUNEAU,58.3019613,-134.4196751,AK,JUNEAU,Diablo Canyon-2,35.212,-120.854,United States,Operational,PWR,1106.0,03-13-86,2755.567,2
AK_JUNEAU,58.3019613,-134.4196751,AK,JUNEAU,Diablo Canyon-1,35.212,-120.854,United States,Operational,PWR,1084.0,05-07-85,2755.567,3
AK_JUNEAU,58.3019613,-134.4196751,AK,JUNEAU,Akademik Lomonosov-1,69.709579,170.30625,Russia,Operational,PWR,30.0,05-22-20,2846.626,4
